;X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
16;766656.22;6284840.94;0.68;0.35;65;5440;44
17;766657;6284837.84;0.54;0.5;48;4320;31.6
18;766659.5;6284836.52;0.62;0.51;47;4960;32.5
19;766662.35;6284835.06;0.69;0.6;50;5520;36.8
20;766665.03;6284833.69;0.67;0.45;55;5360;37.8
21;766667.67;6284832.38;0.78;0.48;62;6240;46
22;766670.48;6284830.87;0.71;0.5;58;5680;41.5
23;766672.96;6284829.55;0.66;0.51;63;5280;44.4
24;766675.71;6284828.1;0.65;0.42;66;5200;45.2
25;766678.34;6284826.7;0.65;0.36;62;5200;41.2
26;766680.86;6284825.34;0.59;0.44;65;4720;43.2
27;766683.44;6284823.89;0.66;0.46;60;5280;41.3
28;766686.15;6284822.47;0.66;0.36;61;5280;40.7
29;766688.82;6284821.09;0.67;0.44;63;5360;43.6
30;766691.4;6284819.84;0.64;0.32;61;5120;39.7
31;766694.02;6284818.44;0.6;0.4;58;4800;37.8
32;766696.65;6284817.12;0.57;0.39;62;4560;39.8
33;766699.17;6284815.76;0.62;0.37;62;4960;40.6
34;766701.77;6284814.42;0.74;0.43;61;5920;43.5
35;766704.27;6284813.06;0.77;0.36;63;6160;44.8
36;766707.03;6284811.6;0.59;0.41;57;4720;37
37;766709.45;6284810.34;0.63;0.38;57;5040;37.5
38;766712.03;6284809.02;0.74;0.5;62;5920;45.4
39;766714.54;6284807.66;0.7;0.54;53;5600;38.2
40;766717.04;6284806.41;0.62;0.51;46;4960;31.9
41;766720.04;6284804.92;0.68;0.49;57;5440;40
42;766722.22;6284803.73;0.78;0.43;60;6240;43.7
43;766725.12;6284802.18;0.73;0.48;52;5840;37.4
44;766727.8;6284800.81;0.71;0.23;59;5680;38.5
45;766730.25;6284799.47;0.7;0.49;42;5600;30.8
46;766733.08;6284798.01;0.78;0.51;48;6240;36.1
47;766735.72;6284796.56;0.76;0.49;61;6080;44.9
48;766738.69;6284794.95;0.74;0.53;51;5920;37.6
49;766741.07;6284793.65;0.69;0.51;60;5520;42.7
50;766743.74;6284792.28;0.67;0.58;54;5360;38.8
51;766746.4;6284790.9;0.62;0.45;58;4960;38.9
52;766748.97;6284789.58;0.52;0.41;46;4160;29.2
53;766751.69;6284788.15;0.61;0.45;58;4880;38.6
54;766754.16;6284786.82;0.71;0.41;63;5680;44.1
55;766756.89;6284785.31;0.63;0.49;57;5040;38.9
56;766759.53;6284783.84;0.58;0.44;57;4640;37.2
57;766762.1;6284782.59;0.73;0.36;64;5840;44.6
58;766764.76;6284781.11;0.67;0.37;63;5360;42.5
59;766767.32;6284779.73;0.64;0.38;59;5120;39.1
60;766769.86;6284778.4;0.72;0.45;69;5760;50
61;766772.41;6284777.04;0.67;0.36;59;5360;39.4
62;766775;6284775.62;0.82;0.49;60;6560;45.6
63;766777.65;6284774.29;0.74;0.24;65;5920;43.8
64;766780.28;6284772.89;0.75;0.42;52;6000;37
65;766782.8;6284771.58;0.79;0.39;65;6320;47.4
66;766785.45;6284770.22;0.7;0.54;57;5600;41.1
67;766788.01;6284768.84;0.76;0.49;64;6080;47.4
68;766790.81;6284767.41;0.68;0.48;73;5440;53.2
69;766793.27;6284766.12;0.68;0.38;67;5440;46.1
70;766795.9;6284764.78;0.6;0.51;58;4800;39.2
71;766798.56;6284763.35;0.58;0.45;53;4640;34.7
72;766801.11;6284762;0.66;0.48;53;5280;36.7
73;766803.75;6284760.67;0.66;0.42;51;5280;34.6
74;766806.61;6284759.15;0.74;0.4;52;5920;36.6
75;766809.24;6284757.79;0.66;0.48;59;5280;40.8
76;766811.71;6284756.53;0.71;0.38;56;5680;38.4
77;766814.17;6284755.26;0.69;0.42;62;5520;42.9
78;766809.02;6284753.18;0.74;0.49;70;5920;52.2
79;766805.34;6284753.85;0.68;0.29;56;5440;36.7
80;766802.6;6284755.38;0.67;0.21;58;5360;36.8
81;766800.06;6284756.67;0.71;0.26;60;5680;39.7
82;766797.38;6284758.17;0.66;0.21;49;5280;31.1
83;766794.96;6284759.5;0.67;0.32;63;5360;41.8
84;766792.48;6284760.78;0.71;0.35;47;5680;32.3
85;766789.76;6284762.24;0.78;0.26;58;6240;39.7
86;766786.68;6284763.83;0.79;0.24;37;6320;27.2
87;766784.44;6284765.07;0.71;0.22;57;5680;37.1
88;766781.97;6284766.38;0.71;0.26;56;5680;36.9
89;766779.3;6284767.78;0.7;0.3;42;5600;28.9
90;766776.46;6284769.27;0.76;0.26;58;6080;39.3
91;766774.17;6284770.43;0.89;0.32;55;7120;40.8
92;766771.31;6284771.94;0.8;0.23;57;6400;39.1
93;766769.12;6284773.14;0.79;0.2;54;6320;36.4
94;766765.87;6284774.84;0.69;0.31;49;5520;32.7
95;766763.28;6284776.23;0.66;0.26;63;5280;40.7
96;766760.83;6284777.45;0.72;0.25;48;5760;32
97;766758;6284779.06;0.71;0.34;57;5680;38.6
98;766755.26;6284780.46;0.74;0.32;52;5920;35.6
99;766752.8;6284781.77;0.72;0.25;59;5760;39
100;766749.9;6284783.31;0.76;0.38;56;6080;39.5
101;766747.53;6284784.61;0.67;0.3;63;5360;41.5
102;766744.91;6284786.05;0.69;0.33;63;5520;42.4
103;766742.4;6284787.33;0.7;0.26;55;5600;36
104;766739.74;6284788.82;0.67;0.25;59;5360;38
105;766737.07;6284790.24;0.71;0.19;65;5680;42.4
106;766734.99;6284791.31;0.74;0.21;53;5920;34.9
107;766731.92;6284793.07;0.68;0.18;61;5440;38.6
108;766728.86;6284794.69;0.66;0.13;64;5280;39.7
109;766726.66;6284795.92;0.65;0.13;63;5200;38.8
110;766723.61;6284797.49;0.7;0.22;57;5600;36.8
111;766721.21;6284798.73;0.64;0.13;56;5120;34
112;766717.92;6284800.44;0.65;0.22;65;5200;41.4
113;766715.83;6284801.64;0.67;0.21;60;5360;38.1
114;766713.16;6284802.99;0.82;0.26;53;6560;37.1
115;766710.44;6284804.44;0.68;0.33;54;5440;35.9
116;766708.32;6284805.47;0.78;0.26;56;6240;38.3
117;766705.64;6284806.95;0.76;0.35;53;6080;37
118;766702.79;6284808.43;0.61;0.31;54;4880;34.3
119;766700.31;6284809.7;0.7;0.26;61;5600;40.2
120;766697.78;6284811.06;0.74;0.28;67;5920;46.1
121;766695.3;6284812.34;0.74;0.21;67;5920;45
122;766692.5;6284813.84;0.69;0.25;61;5520;39.8
123;766690.19;6284815.03;0.62;0.23;54;4960;33.5
124;766687.71;6284816.38;0.77;0.23;58;6160;39.1
125;766684.87;6284817.85;0.55;0.32;38;4400;24.9
126;766682.45;6284819.13;0.71;0.25;59;5680;38.8
127;766679.79;6284820.54;0.75;0.29;47;6000;32.4
128;766677.26;6284821.81;0.61;0.34;50;4880;32.2
129;766674.67;6284823.21;0.64;0.3;57;5120;36.7
130;766672.31;6284824.42;0.65;0.32;62;5200;40.6
131;766669.52;6284825.88;0.67;0.3;64;5360;42.3
132;766667.05;6284827.24;0.71;0.35;64;5680;44
133;766664.46;6284828.62;0.75;0.3;56;6000;38.2
134;766661.61;6284830.15;0.7;0.35;55;5600;37.2
135;766659.39;6284831.33;0.72;0.29;62;5760;41.8
136;766656.83;6284832.59;0.75;0.25;55;6000;36.9
137;766654.08;6284833.96;0.67;0.3;52;5360;34
138;766651.51;6284832.4;0.71;0.38;55;5680;37.7
139;766652.87;6284829.38;0.71;0.49;42;5680;31
140;766655.41;6284827.99;0.78;0.47;52;6240;38.3
141;766658.03;6284826.6;0.72;0.29;62;5760;41.8
142;766660.52;6284825.22;0.71;0.36;56;5680;38.2
143;766663.11;6284823.82;0.72;0.37;64;5760;44.5
144;766665.75;6284822.49;0.68;0.47;44;5440;31.4
145;766668.3;6284821.16;0.74;0.27;61;5920;41.2
146;766671.16;6284819.72;0.73;0.33;59;5840;40.3
147;766673.81;6284818.33;0.69;0.33;58;5520;38.8
148;766676.32;6284817.02;0.79;0.34;59;6320;41.8
149;766679.03;6284815.58;0.69;0.4;57;5520;39
150;766681.59;6284814.25;0.69;0.45;62;5520;43.4
151;766684.21;6284812.88;0.79;0.41;61;6320;44.4
152;766686.76;6284811.55;0.48;0.43;47;3840;29.3
153;766689.45;6284810.1;0.73;0.38;50;5840;34.9
154;766691.92;6284808.81;0.88;0.42;61;7040;46.8
155;766694.64;6284807.34;0.82;0.34;64;6560;46.5
156;766697.25;6284805.95;0.87;0.38;61;6960;45.9
157;766699.86;6284804.61;0.68;0.46;54;5440;37.5
158;766702.36;6284803.37;0.76;0.34;65;6080;45.8
159;766704.88;6284801.96;0.75;0.43;57;6000;40.7
160;766707.4;6284800.65;0.85;0.37;60;6800;44.5
161;766709.99;6284799.19;0.79;0.49;59;6320;44
162;766712.54;6284797.81;0.78;0.27;56;6240;38.5
163;766715.15;6284796.45;0.7;0.22;56;5600;36.2
164;766717.3;6284795.31;0.67;0.22;49;5360;31.4
165;766720.16;6284793.85;0.69;0.21;59;5520;37.9
166;766722.92;6284792.46;0.66;0.25;66;5280;42.9
167;766725.16;6284791.21;0.71;0.12;57;5680;35.8
168;766728.32;6284789.6;0.65;0.2;64;5200;40.4
169;766730.54;6284788.43;0.72;0.25;68;5760;45.9
170;766733.17;6284787.02;0.69;0.23;63;5520;41
171;766735.93;6284785.47;0.7;0.59;44;5600;33.1
172;766738.5;6284784.16;0.71;0.17;65;5680;42.1
173;766741.32;6284782.7;0.72;0.41;56;5760;39
174;766743.9;6284781.33;0.69;0.37;63;5520;43
175;766746.56;6284779.8;0.7;0.32;68;5600;46.5
176;766748.99;6284778.49;0.66;0.46;51;5280;35.1
177;766751.67;6284777.04;0.7;0.34;58;5600;39.1
178;766754.3;6284775.69;0.76;0.48;61;6080;44.7
179;766756.75;6284774.42;0.79;0.54;45;6320;34.8
180;766759.4;6284773.08;0.72;0.23;60;5760;39.5
181;766761.84;6284771.75;0.94;0.29;55;7520;41.5
182;766764.42;6284770.4;0.78;0.45;56;6240;40.9
183;766767.56;6284768.73;0.65;0.36;55;5200;36.3
184;766769.93;6284767.47;0.74;0.3;62;5920;42.4
185;766772.67;6284765.97;0.81;0.41;53;6480;38.9
186;766774.98;6284764.71;0.74;0.37;59;5920;41.1
187;766777.77;6284763.22;0.69;0.31;61;5520;40.6
188;766780.14;6284761.95;0.7;0.37;62;5600;42.5
189;766782.94;6284760.55;0.71;0.49;56;5680;39.9
190;766785.71;6284759.19;0.75;0.52;66;6000;49.4
191;766788.32;6284757.87;0.78;0.49;64;6240;47.9
192;766790.98;6284756.41;0.68;0.63;58;5440;42.7
193;766793.64;6284755.01;0.71;0.52;68;5680;50.1
194;766796.24;6284753.63;0.68;0.55;58;5440;41.5
195;766798.91;6284752.23;0.7;0.44;58;5600;40.4
196;766800.78;6284750.94;0.67;0.43;66;5360;45.8
197;766791.47;6284750.17;0.82;0.26;66;6560;46.9
198;766789.19;6284751.29;0.84;0.18;62;6720;42.9
199;766786.34;6284752.81;0.65;0.22;65;5200;41.4
200;766783.75;6284754.18;0.75;0.23;71;6000;48.9
201;766781.19;6284755.63;0.71;0.18;70;5680;46.2
202;766778.57;6284757.06;0.73;0.26;65;5840;43.9
203;766775.87;6284758.5;0.73;0.24;57;5840;37.7
204;766773.47;6284759.67;0.6;0.29;55;4800;34.5
205;766770.67;6284761.16;0.77;0.21;68;6160;46.5
206;766767.94;6284762.54;0.77;0.25;55;6160;37.3
207;766765.38;6284763.91;0.75;0.39;52;6000;36.7
208;766762.72;6284765.29;0.77;0.2;65;6160;43.9
209;766760.29;6284766.61;0.69;0.14;63;5520;39.7
210;766757.27;6284768.28;0.76;0.27;62;6080;42.4
211;766754.72;6284769.53;0.65;0.25;62;5200;39.7
212;766751.9;6284770.97;0.67;0.24;57;5360;36.5
213;766749.54;6284772.33;0.66;0.19;59;5280;37
214;766746.88;6284773.75;0.76;0.3;60;6080;41.3
215;766744.21;6284775.26;0.69;0.19;64;5520;41.2
216;766741.83;6284776.48;0.8;0.35;50;6400;35.9
217;766739.06;6284777.96;0.64;0.2;73;5120;47.3
218;766736.47;6284779.43;0.67;0.23;66;5360;42.8
219;766733.64;6284780.83;0.63;0.25;66;5040;42.2
220;766731.11;6284782.06;0.6;0.27;71;4800;45.7
221;766728.44;6284783.39;0.64;0.21;64;5120;40.3
222;766725.79;6284784.82;0.7;0.17;62;5600;39.7
223;766723.17;6284786.27;0.65;0.31;47;5200;30.9
224;766720.48;6284787.71;0.66;0.2;68;5280;43.7
225;766717.69;6284789.25;0.75;0.17;58;6000;37.9
226;766714.97;6284790.56;0.78;0.24;51;6240;34.8
227;766712.51;6284791.87;0.69;0.19;57;5520;36.3
228;766709.4;6284793.51;0.62;0.29;60;4960;38.1
229;766707.43;6284794.63;0.63;0.22;62;5040;38.8
230;766704.35;6284796.29;0.65;0.32;52;5200;33.9
231;766701.56;6284797.77;0.62;0.16;65;4960;39.9
232;766698.4;6284799.38;0.64;0.17;61;5120;37.7
233;766696.54;6284800.4;0.73;0.35;51;5840;35.1
234;766693.62;6284801.99;0.7;0.25;61;5600;40
235;766690.83;6284803.41;0.7;0.27;57;5600;37.5
236;766687.84;6284804.99;0.66;0.23;65;5280;41.8
237;766685.54;6284806.11;0.66;0.29;63;5280;41.2
238;766682.73;6284807.56;0.71;0.42;67;5680;47.5
239;766680.28;6284808.89;0.71;0.16;66;5680;42.7
240;766677.21;6284810.44;0.64;0.16;65;5120;40.4
241;766674.6;6284811.89;0.64;0.21;58;5120;36.2
242;766671.93;6284813.34;0.68;0.18;66;5440;42.3
243;766669.16;6284814.82;0.69;0.25;47;5520;30.9
244;766666.57;6284816.19;0.73;0.27;73;5840;50.9
245;766664.34;6284817.36;0.67;0.19;60;5360;37.9
246;766661.39;6284818.96;0.77;0.44;31;6160;25.8
247;766658.09;6284820.74;0.73;0.38;36;5840;27.1
248;766656.04;6284821.82;0.71;0.34;57;5680;38.6
249;766652.93;6284823.37;0.72;0.26;62;5760;41.3
250;766650.61;6284824.62;0.67;0.48;48;5360;33.7
251;766647.19;6284823.93;0.76;0.31;54;6080;37.2
252;766647.61;6284820.46;0.78;0.39;50;6240;35.9
253;766650.65;6284819.02;0.71;0.35;56;5680;38
254;766652.89;6284817.87;0.78;0.38;56;6240;39.9
255;766655.41;6284816.51;0.66;0.24;60;5280;38.3
256;766657.92;6284815.14;0.81;0.28;53;6480;37.2
257;766660.68;6284813.64;0.65;0.26;60;5200;38.4
258;766662.3;6284812.74;0.68;0.16;53;5440;33.2
259;766666.15;6284810.8;0.68;0.19;65;5440;41.7
260;766668.04;6284809.84;0.79;0.42;51;6320;37.2
261;766671.31;6284808.07;0.69;0.48;51;5520;35.9
262;766673.29;6284806.98;0.79;0.39;56;6320;40.3
263;766676.2;6284805.5;0.81;0.49;41;6480;32.1
264;766679.26;6284803.85;0.8;0.47;44;6400;33.5
265;766681.52;6284802.76;0.86;0.25;33;6880;26.3
266;766684.45;6284801.2;0.76;0.21;55;6080;36.6
267;766686.73;6284800.01;0.66;0.25;66;5280;42.9
268;766689.33;6284798.66;0.75;0.3;56;6000;38.2
269;766692.19;6284797.23;0.76;0.31;58;6080;40
270;766694.56;6284795.92;0.74;0.38;53;5920;37
271;766697.35;6284794.41;0.74;0.3;31;5920;24.2
272;766699.86;6284793.12;0.69;0.31;54;5520;35.8
273;766702.5;6284791.74;0.72;0.24;60;5760;39.6
274;766705.03;6284790.31;0.81;0.18;63;6480;43
275;766707.43;6284789.08;0.79;0.32;61;6320;43.1
276;766710.46;6284787.44;0.66;0.31;72;5280;48.8
277;766713;6284786.07;0.61;0.19;60;4880;36.7
278;766715.44;6284784.82;0.65;0.27;62;5200;39.9
279;766718.03;6284783.47;0.69;0.42;55;5520;37.9
280;766721.12;6284781.84;0.65;0.2;67;5200;42.7
