X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766655.09;6284839.56;0.37;0.13;41;2960;31.1;55.2
766657.4;6284838.34;0.51;0.05;15;4080;15.2;84
766659.54;6284837.28;0.47;0.11;33;3760;27.9;61.6
766663.43;6284835.17;0.49;0.08;19;3920;20.8;72.8
766665.31;6284834.15;0.52;0.17;13;4160;15.5;85.6
766668.32;6284832.73;0.49;0.1;31;3920;27;63.2
766671.44;6284831.07;0.27;0.2;22;2160;20.2;70.4
766673.33;6284829.99;0.56;0.45;24;4480;28;68.8
766676.72;6284828.19;0.45;0.42;36;3600;38.4;59.2
766678.43;6284827.38;0.46;0.43;33;3680;39.4;61.6
766681.4;6284825.71;0.44;0.11;50;3520;38.6;48
766684.39;6284824.13;0.44;0.29;42;3520;35.2;54.4
766686.11;6284823.21;0.41;0.15;39;3280;30.8;56.8
766690.05;6284821.11;0.45;0.06;36;3600;28.7;59.2
766693.18;6284819.54;0.24;0.19;48;1920;31.9;49.6
766694.9;6284818.47;0.46;0.06;42;3680;32.7;54.4
766698.22;6284816.85;0.53;0.45;15;4240;16.6;92
766699.8;6284816.07;0.46;0.14;33;3680;28;61.6
766703.24;6284814.22;0.46;0.17;33;3680;28.4;61.6
766704.78;6284813.4;0.47;0.14;23;3760;22.9;69.6
766708.53;6284811.42;0.45;0.08;45;3600;34.8;52
766711.53;6284809.87;0.3;0.33;26;2400;23.6;67.2
766712.66;6284809.4;0.44;0.03;38;3520;29.4;57.6
766716.78;6284807.16;0.48;0.05;33;3840;27.4;61.6
766718.45;6284806.25;0.21;0.04;44;1680;25.5;52.8
766721.87;6284804.52;0.41;0.13;41;3280;31.9;55.2
766725.73;6284802.43;0.47;0.07;33;3760;27.4;61.6
766726.79;6284801.94;0.27;0.11;16;2160;17;75.2
766730.01;6284800.22;0.46;0.17;24;3680;23.5;68.8
766733.46;6284798.33;0.35;0.15;37;2800;28.5;58.4
766735.59;6284797.18;0.4;0.13;45;3200;34.4;52
766738.97;6284795.31;0.44;0.06;48;3520;36.4;49.6
766740.8;6284794.41;0.29;0.17;34;2320;26;60.8
766743.47;6284792.9;0.46;0.05;29;3680;24.9;64.8
766746.05;6284791.59;0.32;0.19;42;2560;31.5;54.4
766748.33;6284790.5;0.46;0.03;16;3680;18.7;75.2
766752.09;6284788.48;0.47;0.11;47;3760;37;50.4
766754.09;6284787.4;0.36;0.16;31;2880;25.4;63.2
766756.82;6284785.87;0.47;0.06;28;3760;24.6;65.6
766758.4;6284785.03;0.28;0.11;22;2240;19.6;70.4
766761.69;6284783.26;0.46;0.16;36;3680;30;59.2
766765.53;6284781.22;0.51;0.06;15;4080;19.1;76
766767.91;6284779.93;0.31;0.14;47;2480;34;50.4
766770.11;6284778.79;0.47;0.1;34;3760;28.3;60.8
766774.18;6284776.69;0.43;0.09;39;3440;30.5;56.8
766775.22;6284776.1;0.4;0.14;44;3200;33.8;52.8
766778.56;6284774.31;0.41;0.15;42;3280;32.8;54.4
766780.56;6284773.25;0.38;0.14;45;3040;34.1;52
766783.25;6284771.86;0.44;0.18;33;3520;28.1;61.6
766785.24;6284770.78;0.22;0.25;32;1760;24.6;62.4
766787.67;6284769.5;0.45;0.07;34;3600;27.7;60.8
766791.96;6284767.3;0.44;0.09;28;3520;24.5;65.6
766793.75;6284766.46;0.39;0.48;30;3120;32.3;64
766796.29;6284765.1;0.53;0.21;22;4240;23.9;70.4
766799.04;6284763.56;0.45;0.05;28;3600;24.2;65.6
766801.44;6284762.37;0.48;0.13;36;3840;30.1;59.2
766804.88;6284760.52;0.5;0.05;35;4000;28.9;60
766807.3;6284759.22;0.4;0.1;46;3200;34.7;51.2
766809.88;6284757.81;0.51;0.14;30;4080;27.2;64
766811.79;6284756.91;0.45;0.48;34;3600;35;60.8
766814.18;6284755.67;0.44;0.21;25;3520;24.1;68
766814.58;6284754.16;0.46;0.1;26;3680;23.8;67.2
766807.09;6284753.55;0.43;0.42;51;3440;44;47.2
766802.92;6284755.78;0.51;0.14;20;4080;22;72
766800.83;6284756.86;0.45;0.18;40;3600;32.6;56
766798.3;6284758.24;0.56;0.15;20;4480;22.8;72
766795.53;6284759.71;0.4;0.15;30;3200;25.5;64
766793.73;6284760.71;0.51;0.1;26;4080;24.6;67.2
766790.14;6284762.58;0.5;0.2;28;4000;26.5;65.6
766786.97;6284764.21;0.53;0.18;14;4240;19.9;76.8
766784.37;6284765.58;0.43;0.17;42;3440;33.4;54.4
