X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766655.09;6284839.56;0.37;0.13;41;2960;59.6
766657.4;6284838.34;0.51;0.05;15;4080;18.7
766659.54;6284837.28;0.47;0.11;33;3760;53.5
766663.43;6284835.17;0.49;0.08;19;3920;34.1
766665.31;6284834.15;0.52;0.17;13;4160;18.3
766668.32;6284832.73;0.49;0.1;31;3920;51.4
766671.44;6284831.07;0.27;0.2;22;2160;27
766673.33;6284829.99;0.56;0.45;24;4480;50.9
766676.72;6284828.19;0.45;0.42;36;3600;69.3
766678.43;6284827.38;0.46;0.43;33;3680;68.5
766681.4;6284825.71;0.44;0.11;50;3520;82.7
766684.39;6284824.13;0.44;0.29;42;3520;69.9
766686.11;6284823.21;0.41;0.15;39;3280;59.6
766690.05;6284821.11;0.45;0.06;36;3600;56
766693.18;6284819.54;0.24;0.19;48;1920;55
766694.9;6284818.47;0.46;0.06;42;3680;67.5
766698.22;6284816.85;0.53;0.45;15;4240;16.7
766699.8;6284816.07;0.46;0.14;33;3680;53.2
766703.24;6284814.22;0.46;0.17;33;3680;53.6
766704.78;6284813.4;0.47;0.14;23;3760;38.9
766708.53;6284811.42;0.45;0.08;45;3600;72.6
766711.53;6284809.87;0.3;0.33;26;2400;35.2
766712.66;6284809.4;0.44;0.03;38;3520;58.1
766716.78;6284807.16;0.48;0.05;33;3840;53.2
766718.45;6284806.25;0.21;0.04;44;1680;38
766721.87;6284804.52;0.41;0.13;41;3280;62.7
766725.73;6284802.43;0.47;0.07;33;3760;52.7
766726.79;6284801.94;0.27;0.11;16;2160;19.5
766730.01;6284800.22;0.46;0.17;24;3680;40.1
766733.46;6284798.33;0.35;0.15;37;2800;51.9
766735.59;6284797.18;0.4;0.13;45;3200;69.3
766738.97;6284795.31;0.44;0.06;48;3520;77.3
766740.8;6284794.41;0.29;0.17;34;2320;43.5
766743.47;6284792.9;0.46;0.05;29;3680;45.6
766746.05;6284791.59;0.32;0.19;42;2560;58.4
766748.33;6284790.5;0.46;0.03;16;3680;28.1
766752.09;6284788.48;0.47;0.11;47;3760;79.2
766754.09;6284787.4;0.36;0.16;31;2880;43.6
766756.82;6284785.87;0.47;0.06;28;3760;44.9
766758.4;6284785.03;0.28;0.11;22;2240;26.6
766761.69;6284783.26;0.46;0.16;36;3680;58.4
766765.53;6284781.22;0.51;0.06;15;4080;30
766767.91;6284779.93;0.31;0.14;47;2480;65.6
766770.11;6284778.79;0.47;0.1;34;3760;55
766774.18;6284776.69;0.43;0.09;39;3440;60.1
766775.22;6284776.1;0.4;0.14;44;3200;67.5
766778.56;6284774.31;0.41;0.15;42;3280;64.9
766780.56;6284773.25;0.38;0.14;45;3040;67.7
766783.25;6284771.86;0.44;0.18;33;3520;52.3
