X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766893.08;6284772.69;1.07;0.94;0.86;8560
766892.62;6284775.15;1.15;0.52;0.86;9200
766892.17;6284777.95;1.16;0.45;0.9;9280
766891.7;6284780.72;1.18;0.36;0.94;9440
766891.14;6284783.53;1.12;0.65;0.91;8960
766890.46;6284786.68;1.14;0.88;0.8;9120
766889.91;6284789.26;1.14;0.34;0.87;9120
766889.21;6284791.85;1.04;0.5;0.81;8320
766888.58;6284795.05;1.18;0.54;0.83;9440
766888.02;6284798.1;1.18;0.34;0.92;9440
766887.41;6284801.06;1.18;0.39;0.88;9440
766886.75;6284803.88;1.18;0.36;0.91;9440
766886.12;6284806.94;1.19;0.32;0.84;9520
766885.61;6284809.84;1.18;0.42;0.83;9440
766885;6284812.5;1.23;0.33;0.91;9840
766884.41;6284815.02;1.34;0.47;0.84;10720
766883.83;6284817.72;1.35;0.29;0.87;10800
766883.26;6284820.48;1.27;0.42;0.93;10160
766884.93;6284822.94;1.2;0.97;0.79;9600
766887.8;6284821.5;1.18;0.36;0.94;9440
766888.44;6284818.62;1.19;0.29;0.86;9520
766889.11;6284815.6;1.22;0.37;0.86;9760
766889.7;6284812.6;1.29;0.34;0.87;10320
766890.3;6284809.53;1.18;0.44;0.76;9440
766890.92;6284806.55;1.17;0.44;0.82;9360
766891.58;6284803.54;1.2;0.3;0.81;9600
766892.21;6284800.64;1.23;0.31;0.85;9840
766892.87;6284798.03;1.16;0.47;0.75;9280
766893.64;6284794.53;1.13;0.64;0.57;9040
766894.23;6284791.44;1.17;0.47;0.82;9360
766894.91;6284788.5;1.13;0.4;0.92;9040
766895.52;6284785.56;1.09;0.44;0.86;8720
766896.16;6284782.49;1.17;0.42;0.94;9360
766896.74;6284779.58;1.07;0.5;0.92;8560
766897.27;6284776.64;1.06;0.44;0.86;8480
766897.93;6284773.69;1.16;0.51;0.76;9280
766898.55;6284770.82;1.08;0.38;0.91;8640
766899.2;6284767.86;1.08;0.51;0.85;8640
766899.79;6284764.87;1.05;0.38;0.88;8400
766900.41;6284762.05;1.03;0.48;0.78;8240
766900.95;6284759.11;1.15;0.43;0.9;9200
766901.53;6284756.07;1.21;0.3;0.9;9680
766902.18;6284753.31;1.13;0.37;0.82;9040
766902.88;6284750.09;1.18;0.31;0.76;9440
766903.47;6284747.45;1.17;0.41;0.87;9360
766904.04;6284744.42;1.13;0.33;0.85;9040
766904.62;6284741.55;1.14;0.49;0.94;9120
766905.27;6284738.71;1.22;0.36;0.96;9760
766905.9;6284735.9;1.24;0.67;0.94;9920
766910.91;6284736.14;1.25;0.41;0.94;10000
766910.69;6284738.71;1.14;0.41;0.92;9120
766910.03;6284741.52;1.2;0.39;0.98;9600
766909.48;6284744.33;1.3;0.4;0.92;10400
766908.84;6284747.37;1.12;0.34;0.9;8960
766908.26;6284750.18;1.14;0.36;0.87;9120
766907.64;6284753.09;1.18;0.37;0.92;9440
766907.01;6284756.04;1.17;0.33;0.87;9360
766906.38;6284758.99;1.24;0.58;0.8;9920
766905.86;6284761.73;1.15;0.46;0.88;9200
766905.17;6284764.65;1.22;0.4;0.95;9760
766904.58;6284767.49;1.11;0.47;0.86;8880
766903.95;6284770.35;1.22;0.42;0.94;9760
766903.35;6284773.22;1.19;0.41;0.89;9520
766902.88;6284775.95;1.13;0.61;0.88;9040
766902.3;6284778.75;1.08;0.52;0.97;8640
766901.73;6284781.64;1.11;0.62;0.88;8880
766901.25;6284784.29;1.27;0.39;0.95;10160
766900.61;6284787.22;1.16;0.44;0.93;9280
766900.03;6284789.91;1.16;0.39;0.93;9280
766899.37;6284792.77;1.13;0.43;0.92;9040
766898.78;6284795.41;1.13;0.58;0.91;9040
766898.1;6284798.9;1.04;1.31;0.91;8320
766897.61;6284801.42;1.2;0.49;0.88;9600
766896.97;6284804.29;1.23;0.31;0.91;9840
766896.3;6284807.34;1.19;0.39;0.92;9520
766895.61;6284810.24;1.18;0.43;0.89;9440
766894.95;6284813.23;1.19;0.39;0.91;9520
766894.32;6284816.06;1.17;0.45;0.83;9360
766893.74;6284819.08;1.24;0.33;0.92;9920
766893.16;6284821.96;1.13;0.34;0.95;9040
766893.79;6284824.71;1.35;0.73;0.85;10800
766897.74;6284823.56;1.31;0.36;0.93;10480
766898.28;6284820.85;1.25;0.3;0.9;10000
766898.83;6284818.33;1.18;0.29;0.88;9440
766899.41;6284815.8;1.17;0.32;0.86;9360
766900.1;6284812.88;1.23;0.4;0.88;9840
766900.64;6284810.37;1.23;0.42;0.81;9840
766901.3;6284807.47;1.2;0.3;0.78;9600
766902.01;6284804.52;1.18;0.32;0.81;9440
766902.62;6284801.65;1.12;0.4;0.83;8960
766903.25;6284798.67;1.17;0.36;0.82;9360
766903.81;6284795.91;1.12;0.4;0.85;8960
766904.35;6284793.11;1.11;0.41;0.84;8880
766904.95;6284790.26;1.1;0.32;0.86;8800
766905.53;6284787.31;1.09;0.34;0.82;8720
766906.03;6284784.3;1.21;0.36;0.95;9680
766906.55;6284781.38;1.13;0.55;0.86;9040
766907.15;6284778.62;1.06;0.34;0.89;8480
766907.74;6284775.49;1.04;0.46;0.84;8320
766908.38;6284772.74;1.14;0.78;0.81;9120
766908.98;6284769.9;1.12;0.36;0.86;8960
766909.58;6284766.77;1.2;0.4;0.92;9600
766910.14;6284764;1.1;0.49;0.88;8800
766910.86;6284760.84;1.17;0.45;0.89;9360
766911.42;6284758.13;1.09;0.47;0.87;8720
766912.05;6284755.19;1.19;0.43;0.85;9520
766912.77;6284752.11;1.18;0.48;0.88;9440
766913.43;6284749.26;1.19;0.42;0.84;9520
766914.04;6284746.25;1.25;0.47;0.86;10000
766914.59;6284743.42;1.28;0.45;0.98;10240
766915.22;6284740.62;1.29;0.33;0.79;10320
766915.9;6284737.49;1.26;0.4;0.88;10080
766916.71;6284734.12;1.27;0.38;0.93;10160
766917.45;6284731.9;1.21;0.34;0.92;9680
766921.76;6284733.85;1.34;0.61;0.88;10720
766921.27;6284736.34;1.27;0.36;0.93;10160
