X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766892.35;6284773.12;0.65;0.24;0.77;5200
766891.96;6284775.21;0.56;0.44;0.83;4480
766891.3;6284778.28;0.6;0.4;0.85;4800
766890.8;6284780.99;0.54;0.4;0.83;4320
766890.35;6284783.58;0.56;0.34;0.8;4480
766889.5;6284787.29;0.62;0.29;0.83;4960
766888.93;6284789.81;0.57;0.26;0.77;4560
766888.54;6284791.29;0.74;0.24;0.71;5920
766887.73;6284795.41;0.68;0.29;0.78;5440
766887.06;6284798.63;0.65;0.25;0.85;5200
766886.37;6284801.63;0.73;0.23;0.78;5840
766885.78;6284804.19;0.57;0.29;0.77;4560
766885.11;6284807.22;0.64;0.27;0.72;5120
766884.55;6284810.33;0.69;0.33;0.76;5520
766884.01;6284813.11;0.7;0.31;0.76;5600
766883.24;6284816.46;0.74;0.27;0.77;5920
766882.81;6284819.05;0.6;0.31;0.85;4800
766882.38;6284821.23;0.62;0.21;0.84;4960
766887.34;6284821.86;0.58;0.41;0.85;4640
766887.81;6284819.61;0.62;0.33;0.7;4960
766888.63;6284816.38;0.68;0.26;0.74;5440
766889.2;6284813.6;0.64;0.28;0.72;5120
766889.82;6284810.74;0.64;0.26;0.71;5120
766890.43;6284807.79;0.68;0.41;0.66;5440
766891;6284804.56;0.63;0.22;0.7;5040
766891.67;6284801.67;0.69;0.26;0.69;5520
766892.28;6284798.75;0.65;0.24;0.72;5200
766892.78;6284796.61;0.93;0.14;0.52;7440
766893.73;6284791.95;0.72;0.3;0.68;5760
766894.12;6284789.92;0.59;0.27;0.8;4720
766894.78;6284787.09;0.61;0.31;0.81;4880
766895.32;6284784.35;0.59;0.38;0.82;4720
766896.02;6284781.22;0.57;0.3;0.86;4560
766896.65;6284778.32;0.56;0.3;0.85;4480
766897.21;6284775.59;0.6;0.42;0.83;4800
766897.91;6284772.54;0.67;0.65;0.76;5360
766898.41;6284769.81;0.6;0.39;0.84;4800
766898.98;6284767.07;0.67;0.26;0.82;5360
766899.5;6284764.41;0.66;0.3;0.82;5280
766900.13;6284761.53;0.66;0.47;0.72;5280
766900.71;6284758.51;0.62;0.28;0.76;4960
766901.27;6284755.74;0.63;0.34;0.8;5040
766901.94;6284752.7;0.65;0.4;0.76;5200
766902.8;6284748.77;0.82;0.24;0.59;6560
766903.21;6284746.91;0.59;0.44;0.68;4720
766903.81;6284743.82;0.66;0.39;0.74;5280
766904.41;6284741.03;0.65;0.35;0.78;5200
766905.07;6284738.16;0.63;0.38;0.87;5040
766905.63;6284735.32;0.64;0.43;0.87;5120
766910.49;6284736.52;0.63;0.28;0.76;5040
766909.9;6284739.15;0.63;0.36;0.81;5040
766909.25;6284741.92;0.6;0.35;0.75;4800
766908.62;6284744.85;0.69;0.37;0.69;5520
766908.03;6284747.71;0.61;0.37;0.71;4880
766907.41;6284750.74;0.67;0.31;0.71;5360
766906.83;6284753.46;0.62;0.33;0.75;4960
766906.19;6284756.59;0.61;0.38;0.75;4880
766905.53;6284759.74;0.67;0.32;0.77;5360
766905.12;6284761.77;0.68;0.37;0.75;5440
766904.42;6284764.83;0.6;0.33;0.8;4800
766903.88;6284767.62;0.6;0.33;0.76;4800
766903.24;6284770.5;0.61;0.37;0.83;4880
766902.75;6284773.19;0.61;0.46;0.8;4880
766902.18;6284776.26;0.57;0.34;0.88;4560
766901.62;6284778.76;0.56;0.34;0.86;4480
766901;6284781.67;0.54;0.35;0.83;4320
766900.41;6284784.47;0.56;0.38;0.88;4480
766899.84;6284787.54;0.58;0.4;0.89;4640
766899.25;6284790.32;0.58;0.29;0.84;4640
766898.56;6284793.31;0.62;0.3;0.84;4960
766898.11;6284795.12;0.58;0.19;0.84;4640
766897.22;6284799.75;0.67;0.33;0.86;5360
766896.64;6284802.42;0.63;0.23;0.8;5040
766896.08;6284804.94;0.54;0.27;0.79;4320
766895.31;6284808.12;0.61;0.31;0.78;4880
766894.73;6284811.06;0.6;0.22;0.69;4800
766894.18;6284813.85;0.64;0.3;0.77;5120
766893.46;6284816.96;0.61;0.25;0.75;4880
766892.91;6284819.67;0.59;0.3;0.74;4720
766892.34;6284822.05;0.64;0.16;0.8;5120
766894.31;6284824.67;0.69;0.48;0.85;5520
766897.51;6284822.9;0.6;0.29;0.79;4800
766898.07;6284820.2;0.65;0.32;0.68;5200
766898.74;6284817.13;0.66;0.3;0.74;5280
766899.44;6284813.97;0.6;0.27;0.71;4800
766900.07;6284811.25;0.59;0.31;0.75;4720
766900.72;6284808.29;0.63;0.36;0.73;5040
766901.34;6284805.29;0.57;0.4;0.82;4560
766901.92;6284802.26;0.58;0.35;0.81;4640
766902.51;6284799.39;0.61;0.42;0.83;4880
766903.24;6284796.37;0.59;0.31;0.83;4720
766903.82;6284793.49;0.61;0.31;0.83;4880
766904.38;6284790.52;0.6;0.23;0.83;4800
766905;6284787.51;0.63;0.33;0.75;5040
766905.55;6284784.64;0.63;0.35;0.83;5040
766906.08;6284781.94;0.64;0.44;0.78;5120
766906.73;6284779;0.6;0.51;0.84;4800
766907.26;6284775.94;0.56;0.43;0.8;4480
766907.85;6284773.38;0.55;0.32;0.75;4400
766908.53;6284770.3;0.6;0.3;0.79;4800
766909.08;6284767.21;0.61;0.35;0.76;4880
766909.7;6284764.56;0.66;0.35;0.8;5280
766910.35;6284761.56;0.58;0.3;0.74;4640
766911;6284758.49;0.57;0.27;0.73;4560
766911.59;6284755.61;0.65;0.34;0.69;5200
766912.2;6284752.66;0.66;0.57;0.73;5280
766912.87;6284749.74;0.68;0.42;0.71;5440
766913.56;6284746.96;0.72;0.29;0.79;5760
766914.19;6284743.86;0.67;0.35;0.8;5360
766914.76;6284741.08;0.71;0.26;0.82;5680
766915.44;6284737.81;0.75;0.3;0.7;6000
766916.15;6284735.74;0.72;0.48;0.76;5760
766921.08;6284734.73;0.61;0.4;0.79;4880
766920.44;6284737.62;0.7;0.32;0.67;5600
766919.98;6284739.84;0.6;0.25;0.68;4800
766919.36;6284742.82;0.75;0.05;0.44;6000
766918.69;6284746.02;0.69;0.28;0.78;5520
766917.9;6284749.48;0.76;0.36;0.7;6080
766917.34;6284751.98;0.71;0.35;0.74;5680
766916.77;6284754.71;0.63;0.44;0.78;5040
766916.17;6284757.56;0.71;0.32;0.73;5680
766915.55;6284760.54;0.65;0.3;0.77;5200
766915.02;6284763.34;0.69;0.33;0.71;5520
766914.4;6284766.42;0.87;0.26;0.5;6960
766913.88;6284768.84;0.7;0.41;0.71;5600
766913.29;6284771.71;0.69;0.28;0.73;5520
766912.74;6284774.34;0.72;0.31;0.68;5760
766912.05;6284777.69;0.62;0.48;0.85;4960
766911.58;6284780.36;0.67;0.42;0.78;5360
766910.95;6284783.26;0.61;0.38;0.82;4880
766910.28;6284786.05;0.61;0.3;0.83;4880
766909.69;6284788.94;0.57;0.37;0.82;4560
766909.21;6284791.65;0.58;0.31;0.81;4640
766908.64;6284794.6;0.56;0.25;0.79;4480
766907.99;6284797.6;0.6;0.42;0.77;4800
766907.48;6284800.06;0.57;0.31;0.88;4560
766906.8;6284802.89;0.58;0.42;0.77;4640
766906.15;6284805.76;0.59;0.36;0.82;4720
766905.58;6284808.57;0.63;0.35;0.72;5040
766904.97;6284811.5;0.64;0.31;0.72;5120
766904.34;6284814.28;0.66;0.29;0.71;5280
766903.74;6284817.13;0.67;0.25;0.69;5360
766903.13;6284819.99;0.61;0.26;0.82;4880
766902.45;6284822.93;0.55;0.34;0.74;4400
766894.91;6284773.04;0.65;0.56;0.83;5200
766894.37;6284775.93;0.6;0.39;0.77;4800
766893.76;6284778.74;0.64;0.29;0.71;5120
766893.24;6284781.54;0.64;0.29;0.76;5120
766892.7;6284784.41;0.61;0.3;0.75;4880
766892.04;6284787.27;0.59;0.27;0.79;4720
766891.47;6284790.01;0.59;0.3;0.75;4720
766890.7;6284793.32;0.71;0.3;0.64;5680
766890.12;6284796.15;0.72;0.28;0.7;5760
766889.51;6284799.1;0.54;0.36;0.64;4320
766888.89;6284801.83;0.7;0.24;0.68;5600
766888.16;6284804.96;0.61;0.26;0.66;4880
766887.58;6284807.67;0.63;0.21;0.75;5040
766887.01;6284810.81;0.69;0.27;0.68;5520
766886.4;6284813.94;0.66;0.29;0.66;5280
766885.74;6284816.83;0.68;0.42;0.78;5440
766885.25;6284819.56;0.66;0.26;0.81;5280
766884.77;6284821.86;0.68;0.44;0.81;5440
766889.76;6284822.49;0.63;0.32;0.84;5040
766890.07;6284820.98;0.57;0.33;0.65;4560
766891.05;6284816.99;0.6;0.34;0.78;4800
766891.64;6284814.16;0.6;0.26;0.73;4800
766892.3;6284811.07;0.61;0.24;0.75;4880
766892.89;6284808.16;0.66;0.25;0.76;5280
766893.43;6284805.24;0.58;0.31;0.76;4640
