X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766320.76;6284655.04;1.43;0.58;0.93;11440
766321.11;6284652.41;1.12;0.89;0.96;8960
766321.22;6284649.6;1.13;0.77;0.94;9040
766321.34;6284646.68;1.17;0.62;0.94;9360
766321.56;6284643.81;1.28;0.61;0.88;10240
766321.54;6284641.03;1.1;0.5;0.96;8800
766321.55;6284638.17;1.3;0.69;0.9;10400
766321.63;6284635.16;1.15;0.61;0.99;9200
766321.69;6284632.44;1.16;0.6;0.99;9280
766321.65;6284629.59;1.16;0.78;0.96;9280
766321.66;6284626.5;1.23;0.47;0.77;9840
766321.69;6284623.62;1.18;0.75;0.96;9440
766321.75;6284621.01;1.13;0.59;0.91;9040
766321.9;6284617.67;1.09;0.5;0.96;8720
766322.01;6284614.85;1.09;0.51;0.91;8720
766321.99;6284612.05;1.15;0.77;0.92;9200
766322.08;6284608.46;1.17;0.67;0.69;9360
766322.15;6284606.13;1.19;0.8;0.94;9520
766322.23;6284602.88;1.11;0.69;0.81;8880
766322.32;6284600.38;1.03;0.72;0.97;8240
766322.33;6284597.83;1.15;0.72;0.81;9200
766322.38;6284594.33;0.96;0.61;0.87;7680
766322.49;6284591.31;1.15;0.42;0.85;9200
766322.55;6284588.03;0.97;0.7;0.79;7760
766322.67;6284585.67;1.04;0.47;0.96;8320
766322.75;6284582.76;1.04;0.54;0.97;8320
766322.89;6284579.92;1.06;0.59;0.97;8480
766322.9;6284577;1.1;0.78;0.94;8800
766322.95;6284574.15;1.24;0.6;0.99;9920
766323;6284571.95;1.46;0.43;0.76;11680
766323.06;6284568.24;0.94;0.61;0.81;7520
766323.08;6284565.02;1.14;0.49;0.94;9120
766323.05;6284562.66;1.11;0.69;0.91;8880
766323.2;6284559.18;1.21;0.44;0.7;9680
766323.23;6284556.84;1.08;0.68;0.94;8640
766323.28;6284553.98;1.14;0.52;0.79;9120
766323.32;6284550.62;1.11;0.68;0.77;8880
766323.38;6284548.15;1.24;0.71;0.94;9920
766323.44;6284545.4;1.08;0.77;0.97;8640
766323.5;6284542.67;1.21;0.62;0.92;9680
766323.6;6284539.17;1.1;0.43;0.89;8800
766323.67;6284536.8;1.29;0.58;0.94;10320
766323.72;6284534.02;1.17;0.67;0.72;9360
766322.45;6284531.05;1.15;0.48;0.87;9200
766319.01;6284532.13;1.02;0.59;0.94;8160
766318.93;6284534.96;1.09;0.37;0.95;8720
766318.84;6284537.88;1.14;0.37;0.86;9120
766318.75;6284540.65;1.08;0.56;0.92;8640
766318.67;6284543.05;1.22;0.47;0.82;9760
766318.66;6284546.2;1.24;0.42;0.96;9920
766318.57;6284548.79;1.04;0.34;0.97;8320
766318.53;6284551.22;1.27;0.41;0.84;10160
766318.48;6284554.78;1.08;0.53;0.91;8640
766318.46;6284557.26;1.32;0.49;0.88;10560
766318.42;6284559.89;1.32;0.53;0.9;10560
766318.34;6284562.76;1.16;0.48;0.97;9280
766318.29;6284565.09;1.19;0.59;0.78;9520
766318.2;6284568.35;1.02;0.54;0.85;8160
766318.15;6284570.96;1.02;0.48;0.98;8160
766318.04;6284573.86;1.04;0.59;0.94;8320
766318.03;6284576.43;1.04;0.41;0.9;8320
766317.99;6284579.25;1.08;0.46;0.93;8640
766317.89;6284582;1.19;0.37;0.77;9520
766317.83;6284584.9;1.2;0.46;0.9;9600
766317.72;6284586.98;1.28;0.39;0.85;10240
766317.68;6284591.18;1.14;0.68;0.72;9120
766317.63;6284593.27;1.01;0.57;0.98;8080
766317.52;6284596.02;1.33;0.5;0.97;10640
766317.47;6284598.85;1.16;0.58;0.93;9280
766317.44;6284601.6;1.13;0.37;0.98;9040
766317.34;6284604.5;1.09;0.52;0.93;8720
766317.19;6284607.36;1.07;0.47;0.95;8560
766317.06;6284610.1;1.14;0.58;0.83;9120
766316.93;6284614.01;1.17;0.26;0.45;9360
766316.84;6284616.03;1.02;0.59;0.9;8160
766316.7;6284618.74;1.11;0.45;0.9;8880
766316.58;6284621.43;1.02;0.47;0.92;8160
766316.41;6284624.6;1.04;0.51;0.96;8320
766316.3;6284627.4;1.14;0.42;0.84;9120
766316.3;6284630.3;1.07;0.62;0.96;8560
766316.27;6284633.07;1.05;0.56;0.93;8400
766316.12;6284636.14;1.09;0.44;0.94;8720
766316.11;6284638.83;1.11;0.32;0.99;8880
766316.02;6284640.97;1.19;0.54;0.89;9520
766315.96;6284643.46;1.08;0.31;1;8640
766315.86;6284646.51;0.08;0.03;1;640
766315.33;6284650.27;0.81;0.13;1;6480
766314.26;6284651.63;0.9;0.51;0.92;7200
766311.59;6284650.9;0.84;0.78;0.91;6720
766311.03;6284641.18;0.84;0.59;0.43;6720
766311.09;6284637.58;1.25;0.42;0.83;10000
766311.14;6284635.24;1.08;0.48;0.99;8640
766311.27;6284632.37;1.11;0.62;0.97;8880
766311.22;6284629.63;1.07;0.54;0.92;8560
766311.24;6284626.59;1.39;0.54;0.97;11120
766311.38;6284623.69;1.29;0.41;0.76;10320
766311.53;6284620.65;1.09;0.42;0.87;8720
766311.62;6284617.81;1.18;0.42;0.97;9440
766311.68;6284614.84;1.06;0.41;0.94;8480
766311.75;6284611.83;1.11;0.62;0.96;8880
766311.83;6284609.08;1.17;0.47;0.92;9360
766311.93;6284606.06;1.14;0.54;0.97;9120
766311.97;6284603.42;1.31;0.42;0.87;10480
766312;6284600.27;1.28;0.55;0.92;10240
766312.1;6284597.55;1.21;0.51;0.95;9680
766312.16;6284594.54;1.15;0.55;0.97;9200
766312.2;6284591.63;1.2;0.53;0.97;9600
766312.34;6284588.89;1.07;0.53;0.96;8560
766312.38;6284585.86;1.09;0.61;0.99;8720
766312.52;6284582.87;1.25;0.48;0.89;10000
766312.51;6284579.98;1.16;0.55;0.97;9280
766312.62;6284577.32;1.06;0.58;0.94;8480
766312.69;6284574.48;1.09;0.58;0.95;8720
766312.76;6284571.68;1.14;0.63;0.53;9120
766312.82;6284568.73;1.17;0.66;0.93;9360
766312.92;6284565.64;1.12;0.58;0.98;8960
766312.99;6284563.12;1.13;0.52;0.91;9040
766313.12;6284559.65;1.26;0.52;0.91;10080
766313.19;6284557.28;1.26;0.62;0.93;10080
766313.33;6284553.96;1.18;0.53;0.85;9440
766313.32;6284551.39;1.07;0.48;0.94;8560
766313.4;6284548.69;1.26;0.46;0.94;10080
766313.46;6284545.82;1.24;0.44;0.97;9920
766313.52;6284543.16;1.08;0.57;0.97;8640
766313.59;6284540.5;1.23;0.54;0.86;9840
766313.74;6284536.86;1.25;0.51;0.73;10000
766313.81;6284534.56;1.39;0.57;0.94;11120
766313.88;6284531.86;1.11;0.65;0.91;8880
766309.09;6284531.8;1.13;0.53;0.87;9040
766309.03;6284533.44;1.14;0.67;0.87;9120
766309.02;6284537.23;1.06;0.5;0.86;8480
766308.94;6284539.63;1.08;0.52;0.92;8640
766308.84;6284543.53;1.19;0.63;0.69;9520
766308.85;6284545.39;1.07;0.51;0.93;8560
766308.79;6284548.22;1.1;0.57;0.87;8800
766308.68;6284551.56;1.14;0.53;0.93;9120
766308.58;6284554.6;1.13;0.55;0.96;9040
766308.49;6284557.39;1.16;0.57;0.96;9280
766308.47;6284560.68;1.39;0.48;0.83;11120
766308.41;6284563.26;0.98;0.54;0.96;7840
766308.32;6284565.74;1.19;0.58;0.62;9520
766308.23;6284569.14;1.1;0.57;0.88;8800
766308.12;6284571.96;1.07;0.55;0.98;8560
766308.03;6284574.91;1.02;0.38;0.99;8160
766307.95;6284577.65;1.18;0.54;0.85;9440
766307.95;6284580.72;1.02;0.51;0.91;8160
766307.84;6284583.17;1.15;0.51;0.83;9200
766307.78;6284586.41;1.29;0.45;0.76;10320
766307.69;6284589.59;1.13;0.43;0.81;9040
766307.71;6284592.28;1.1;0.55;0.97;8800
766307.62;6284595.34;1.22;0.56;0.92;9760
766307.55;6284598.26;1.17;0.61;0.99;9360
766307.46;6284601.11;1.12;0.62;0.91;8960
766307.33;6284604.45;0.99;0.39;0.88;7920
766307.19;6284607.13;1.13;0.49;0.95;9040
766307.05;6284610.19;1.27;0.46;0.69;10160
766307.01;6284612.84;1.13;0.45;0.97;9040
766306.97;6284615.64;1.09;0.6;0.99;8720
766306.9;6284618.4;1.25;0.47;0.98;10000
766306.82;6284621.59;1.1;0.52;0.96;8800
766306.81;6284624.29;1.17;0.47;0.93;9360
766306.78;6284627.46;1.2;0.53;0.94;9600
766306.71;6284630.21;1.18;0.45;0.97;9440
766306.61;6284633.19;1.15;0.43;0.93;9200
766306.59;6284636.07;1.39;0.46;0.97;11120
766306.49;6284638.59;1.22;0.55;0.88;9760
766306.38;6284641.14;0.94;0.56;0.85;7520
766300.92;6284640.22;1.3;0.66;0.91;10400
766301.27;6284638.06;1.22;0.41;0.97;9760
766301.39;6284635.26;1.23;0.45;0.92;9840
766301.47;6284632.3;1.13;0.48;0.96;9040
766301.56;6284629.41;1.13;0.45;0.98;9040
766301.64;6284626.38;1.14;0.61;0.75;9120
766301.66;6284623.74;1.09;0.53;0.96;8720
766301.77;6284620.88;1.14;0.55;0.93;9120
766301.77;6284617.96;1.19;0.47;0.93;9520
766301.88;6284615.2;1.22;0.46;0.8;9760
766301.96;6284612.25;1.29;0.41;0.91;10320
766302.02;6284609.41;1.23;0.42;0.87;9840
766302.06;6284606.79;0.98;0.45;0.68;7840
766302.15;6284603.66;1.24;0.66;0.95;9920
766302.2;6284600.83;1.17;0.55;0.96;9360
766302.22;6284598.23;1.23;0.51;0.9;9840
766302.25;6284595;1.2;0.42;0.81;9600
766302.35;6284592.25;1.13;0.51;0.97;9040
766302.41;6284589.43;1.16;0.57;0.84;9280
766302.5;6284586.46;1.21;0.46;0.89;9680
766302.62;6284583.45;1.2;0.45;0.89;9600
766302.68;6284580.78;1.17;0.54;0.91;9360
766302.76;6284577.68;1.07;0.73;0.9;8560
766302.87;6284575.13;1.09;0.55;0.96;8720
766302.9;6284572.42;1.11;0.49;0.93;8880
766302.99;6284569.48;0.94;0.46;0.67;7520
766303;6284566.31;1.1;0.57;0.95;8800
766303.08;6284563.82;1.3;0.44;0.9;10400
766303.14;6284560.69;1.28;0.41;0.87;10240
766303.26;6284558;1.14;0.52;0.96;9120
766303.36;6284555.27;1.11;0.59;0.92;8880
766303.42;6284552.18;1.24;0.59;0.93;9920
766303.46;6284549.74;1.13;0.69;0.91;9040
766303.56;6284546.65;1.12;0.65;0.84;8960
766303.65;6284543.49;1.05;0.58;0.9;8400
766303.74;6284541.15;1.13;0.48;0.8;9040
766303.8;6284538.3;1.23;0.49;0.84;9840
766303.84;6284535.9;1.2;0.4;0.85;9600
766303.92;6284532.54;1.16;0.52;0.92;9280
766302.37;6284530.97;1.24;0.5;0.71;9920
766299.07;6284532.79;1.05;0.49;0.96;8400
766299.1;6284535.08;1.06;0.37;0.89;8480
766299;6284538.47;1.05;0.55;0.8;8400
766298.9;6284541.07;1.1;0.49;0.9;8800
766298.82;6284543.91;1.09;0.62;0.98;8720
766298.72;6284546.59;1.14;0.61;0.97;9120
766298.66;6284549.66;1.12;0.49;0.84;8960
766298.63;6284552.09;1.09;0.44;0.93;8720
766298.54;6284555.51;1.07;0.63;0.9;8560
766298.47;6284558.08;1.04;0.68;0.96;8320
766298.41;6284561.02;1.17;0.66;0.97;9360
766298.34;6284563.81;1.06;0.44;0.97;8480
766298.27;6284566.89;1.17;0.47;0.96;9360
766298.25;6284569.61;1.24;0.67;0.98;9920
766298.19;6284572.49;1.07;0.58;0.98;8560
766298.15;6284575.32;1.09;0.42;0.98;8720
766298.09;6284578.12;1.25;0.5;0.95;10000
766298;6284580.96;1.1;0.44;0.86;8800
766297.91;6284583.41;0.98;0.32;0.91;7840
766297.76;6284587.09;1.05;0.42;0.91;8400
766297.73;6284589.46;1.06;0.7;0.87;8480
766297.66;6284592.58;1.08;0.54;0.86;8640
766297.59;6284595.32;1.11;0.43;0.92;8880
766297.52;6284598.08;1.08;0.48;0.95;8640
766297.45;6284601.02;1.09;0.53;0.96;8720
766297.37;6284603.58;1.11;0.41;0.95;8880
766297.28;6284606.55;1.16;0.58;0.89;9280
766297.19;6284608.7;1.1;0.59;0.81;8800
766297.1;6284611.89;1.13;0.6;0.91;9040
766297.03;6284614.98;1.11;0.53;0.98;8880
766296.99;6284617.87;1.07;0.54;0.97;8560
766296.87;6284620.58;1.01;0.54;0.98;8080
766296.79;6284622.74;1.05;0.49;0.79;8400
766296.75;6284626.52;1.11;0.61;0.78;8880
766296.78;6284629.33;0.93;0.21;0.5;7440
766296.69;6284631.88;1.13;0.44;0.94;9040
766296.64;6284634.2;1.13;0.63;0.92;9040
766296.59;6284636.42;1.17;0.61;0.94;9360
766322.96;6284656.8;0.51;0.19;0.09;4080
766323.74;6284651.32;0.81;0.46;0.51;6480
766323.7;6284649.48;1.34;0.61;0.91;10720
766323.83;6284646.76;1.39;0.48;0.97;11120
766324.05;6284644;1.4;0.54;0.93;11200
766324.04;6284640.9;1.4;0.48;0.94;11200
766324.05;6284638.37;1.17;0.72;0.89;9360
766324.12;6284635.02;1.6;0.59;0.83;12800
766324.19;6284632.44;1.33;0.61;0.95;10640
766324.15;6284629.68;1.22;0.69;0.95;9760
766324.14;6284626.91;1.06;0.54;0.91;8480
766324.19;6284623.69;1.17;0.57;0.94;9360
766324.26;6284620.8;1.33;0.76;0.91;10640
766324.4;6284617.78;1.31;0.53;0.95;10480
766324.51;6284614.83;1.16;0.51;0.75;9280
766324.49;6284611.92;1.26;0.75;0.93;10080
766324.55;6284609.06;1.36;0.5;0.94;10880
766324.65;6284606.13;1.43;0.39;0.93;11440
766324.73;6284603.17;1.22;0.56;0.95;9760
766324.82;6284600.38;1.3;0.58;0.99;10400
766324.85;6284597.38;1.4;0.53;0.95;11200
