X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766321.69;6284655.68;0.84;0.29;0.95;6720
766321.75;6284653.47;0.82;0.38;0.93;6560
766321.82;6284650.54;0.81;0.43;0.95;6480
766321.97;6284647.28;0.86;0.45;0.93;6880
766322.02;6284644.54;0.85;0.37;0.74;6800
766322.1;6284641.59;0.78;0.33;0.86;6240
766322.16;6284638.73;0.79;0.48;0.86;6320
766322.25;6284635.44;0.83;0.49;0.98;6640
766322.34;6284632.79;0.81;0.37;0.96;6480
766322.42;6284630.05;0.77;0.38;0.93;6160
766322.5;6284626.77;0.83;0.32;0.73;6640
766322.5;6284624.2;0.77;0.38;0.92;6160
766322.55;6284621.68;0.82;0.34;0.9;6560
766322.73;6284617.89;0.81;0.45;0.93;6480
766322.79;6284615.98;0.8;0.32;0.94;6400
766322.79;6284612.85;0.74;0.38;0.92;5920
766322.86;6284609.07;0.85;0.33;0.66;6800
766322.95;6284606.51;0.77;0.34;0.93;6160
766323.02;6284603.69;0.83;0.3;0.64;6640
766323.1;6284600.95;0.82;0.31;0.92;6560
766323.1;6284598.53;0.75;0.38;0.94;6000
766323.15;6284594.81;0.72;0.33;0.77;5760
766323.22;6284592.08;0.76;0.34;0.72;6080
766323.34;6284588.57;0.75;0.42;0.54;6000
766323.42;6284586.43;0.69;0.4;0.89;5520
766323.56;6284583.72;0.69;0.26;0.87;5520
766323.66;6284580.55;0.77;0.33;0.89;6160
766323.69;6284577.49;0.8;0.3;0.81;6400
766323.73;6284574.72;0.74;0.43;0.95;5920
766323.83;6284572.66;0.79;0.31;0.84;6320
766323.83;6284568.83;0.81;0.41;0.63;6480
766323.88;6284565.32;0.76;0.33;0.82;6080
766323.88;6284563.32;0.76;0.38;0.89;6080
766324.01;6284559.91;0.77;0.41;0.7;6160
766324.09;6284557.79;0.81;0.42;0.83;6480
766324.15;6284554.84;0.74;0.34;0.94;5920
766324.24;6284550.77;0.79;0.35;0.73;6320
766324.31;6284548.74;0.75;0.37;0.95;6000
766324.35;6284546.08;0.77;0.3;0.93;6160
766324.4;6284542.75;0.78;0.41;0.63;6240
766324.55;6284539.38;0.77;0.4;0.87;6160
766324.57;6284537.2;0.78;0.3;0.97;6240
766324.65;6284533.91;0.8;0.34;0.58;6400
766322.39;6284531.24;0.85;0.8;0.77;6800
766319.69;6284532.17;0.81;0.3;0.96;6480
766319.59;6284535.31;0.75;0.35;0.9;6000
766319.55;6284537.28;0.84;0.26;0.79;6720
766319.39;6284540.91;0.81;0.33;0.81;6480
766319.36;6284543.06;0.78;0.32;0.72;6240
766319.44;6284547.54;0.76;0.42;0.92;6080
766319.34;6284549.67;0.79;0.46;0.81;6320
766319.33;6284552.42;0.75;0.33;0.79;6000
766319.24;6284556.48;0.8;0.5;0.87;6400
766319.24;6284558.64;0.81;0.39;0.76;6480
766319.12;6284561.67;0.82;0.38;0.79;6560
766319;6284564.52;0.7;0.33;0.91;5600
766318.92;6284566.57;0.8;0.29;0.79;6400
766318.89;6284570.63;0.74;0.31;0.82;5920
766318.82;6284573.17;0.75;0.44;0.82;6000
766318.68;6284576.21;0.76;0.35;0.85;6080
766318.67;6284579.45;0.83;0.39;0.71;6640
766318.57;6284581.75;0.75;0.5;0.66;6000
766318.47;6284585.59;0.76;0.29;0.91;6080
766318.4;6284588.09;0.85;0.47;0.76;6800
766318.36;6284591.08;0.6;0.89;0.45;4800
766318.33;6284593.77;0.81;0.31;0.8;6480
766318.21;6284596.56;0.79;0.22;0.93;6320
766318.14;6284599.52;0.7;0.25;0.88;5600
766318.07;6284602.27;0.78;0.31;0.93;6240
766318.04;6284605.24;0.77;0.31;0.84;6160
766317.96;6284608.01;0.81;0.32;0.88;6480
766317.9;6284610.88;0.74;0.43;0.79;5920
766317.83;6284613.29;0.91;1.06;0.46;7280
766317.76;6284616.53;0.82;0.37;0.72;6560
766317.67;6284619.08;0.84;0.3;0.87;6720
766317.65;6284622.24;0.75;0.23;0.84;6000
766317.49;6284625.65;0.76;0.36;0.92;6080
766317.41;6284627.63;0.84;0.44;0.75;6720
766317.36;6284631.44;0.78;0.37;0.92;6240
766317.37;6284634.01;0.78;0.39;0.93;6240
766317.26;6284637;0.8;0.35;0.83;6400
766317.24;6284639.83;0.8;0.31;0.95;6400
766317.1;6284642.13;0.83;0.34;0.88;6640
766316.93;6284645.62;0.15;0.04;1;1200
766316.83;6284648.33;0.14;0.04;1;1120
766316.93;6284650.8;0.15;0.02;1;1200
766312.16;6284641.71;0.86;0.41;0.47;6880
766312.15;6284638.15;0.75;0.36;0.78;6000
766312.23;6284636.17;0.8;0.38;0.93;6400
766312.35;6284633.22;0.78;0.45;0.91;6240
766312.34;6284631.02;0.79;0.35;0.83;6320
766312.45;6284627.62;0.79;0.39;0.95;6320
766312.54;6284624.38;0.78;0.45;0.74;6240
766312.63;6284621.42;0.78;0.31;0.81;6240
766312.68;6284618.94;0.74;0.41;0.92;5920
766312.75;6284615.94;0.78;0.28;0.94;6240
766312.85;6284612.81;0.74;0.35;0.91;5920
766312.87;6284610.16;0.72;0.36;0.77;5760
766313.02;6284606.82;0.8;0.35;0.88;6400
766313.06;6284604.53;0.75;0.32;0.78;6000
766313.18;6284601.02;0.69;0.46;0.85;5520
766313.26;6284598.28;0.76;0.31;0.92;6080
766313.27;6284595.38;0.78;0.41;0.9;6240
766313.3;6284592.58;0.71;0.25;0.91;5680
766313.47;6284589.99;0.73;0.31;0.89;5840
766313.5;6284586.84;0.75;0.36;0.92;6000
766313.61;6284584.09;0.76;0.33;0.84;6080
766313.64;6284580.74;0.8;0.29;0.95;6400
766313.69;6284578.13;0.75;0.35;0.91;6000
766313.75;6284575.41;0.74;0.31;0.94;5920
766313.89;6284573.01;0.89;0.75;0.54;7120
766313.93;6284569.82;0.79;0.38;0.8;6320
766314.07;6284566.76;0.81;0.29;0.88;6480
766314.1;6284564.08;0.82;0.34;0.92;6560
766314.2;6284560.16;0.78;0.36;0.95;6240
766314.26;6284557.81;0.81;0.42;0.83;6480
766314.42;6284554.57;0.74;0.35;0.75;5920
766314.42;6284551.65;0.8;0.33;0.9;6400
766314.5;6284548.66;0.74;0.31;0.93;5920
766314.6;6284546.07;0.72;0.45;0.91;5760
766314.71;6284543.31;0.77;0.36;0.84;6160
766314.75;6284541.09;0.85;0.41;0.77;6800
766314.9;6284536.74;0.81;0.35;0.77;6480
766314.94;6284534.46;0.76;0.44;0.95;6080
766314.94;6284532.34;0.77;0.56;0.9;6160
766309.99;6284532.25;0.84;0.92;0.63;6720
766309.87;6284534.02;0.78;0.35;0.93;6240
766309.77;6284537.84;0.73;0.37;0.85;5840
766309.68;6284540.04;0.74;0.38;0.91;5920
766309.62;6284542.19;0.82;0.39;0.47;6560
766309.6;6284546;0.74;0.33;0.85;5920
766309.5;6284548.87;0.89;0.4;0.84;7120
766309.41;6284551.87;0.77;0.33;0.78;6160
766309.33;6284554.13;0.8;0.37;0.77;6400
766309.22;6284557.27;0.81;0.37;0.88;6480
766309.17;6284560.09;0.79;0.31;0.72;6320
766309.14;6284563.13;0.71;0.35;0.92;5680
766309.06;6284565.46;0.74;0.3;0.95;5920
766308.95;6284569.46;0.84;0.37;0.76;6720
766308.89;6284571.89;0.79;0.35;0.88;6320
766308.81;6284574.16;0.72;0.37;0.88;5760
766308.7;6284577.26;0.75;0.26;0.92;6000
766308.66;6284580.83;0.71;0.3;0.74;5680
766308.57;6284582.83;0.74;0.45;0.83;5920
766308.52;6284586.47;0.86;0.93;0.48;6880
766308.38;6284588.93;0.83;1.02;0.68;6640
766308.31;6284592.09;0.77;0.35;0.89;6160
766308.32;6284594.19;0.76;0.4;0.78;6080
