X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766321.36;6284654.53;0.19;0.1;24;1520;28.7
766321.45;6284651.35;0.17;0.13;23;1360;28.1
766321.52;6284648.57;0.12;0.09;29;960;30.4
766321.58;6284645.73;0.11;0.12;27;880;29.3
766321.67;6284642.5;0.09;0.2;32;720;33
766321.73;6284640.06;0.12;0.14;23;960;27.4
766321.81;6284636.86;0.11;0.17;32;880;33.1
766321.94;6284633.89;0.14;0.12;24;1120;28.1
766321.98;6284630.82;0.14;0.12;15;1120;35.1
766322.02;6284628.26;0.06;0.32;29;480;32
766322.12;6284624.9;0.08;0.08;31;640;30.7
766322.13;6284621.67;0.12;0.07;26;960;28.3
766322.28;6284618.34;0.16;0.08;7;1280;19.5
766322.32;6284616.36;0.16;0.08;28;1280;30.4
766322.37;6284612.67;0.17;0.1;27;1360;30.2
766322.42;6284610.18;0.03;0.07;9;240;14.9
766322.54;6284606.76;0.15;0.11;33;1200;33.8
766322.64;6284604.45;0.09;0.1;14;720;21.9
766322.73;6284600.77;0.14;0.1;30;1120;31.5
766322.76;6284598.74;0.11;0.14;20;880;38.4
766322.84;6284595.12;0.09;0.08;33;720;32.2
766322.92;6284591.53;0.3;0.02;13;2400;19.1
766322.95;6284588.77;0.13;0.09;23;1040;27
766323.08;6284586.24;0.13;0.12;22;1040;26.8
766323.19;6284583.85;0.11;0.08;20;880;37.5
766323.29;6284580.39;0.14;0.09;16;1120;23.5
766323.33;6284577.33;0.16;0.09;13;1280;22.3
766323.34;6284574.57;0.12;0.16;18;960;37.4
766323.47;6284572.27;0.14;0.12;24;1120;28.1
766323.61;6284568.3;0.11;0.1;7;880;19
766323.65;6284564.83;0.1;0.17;17;800;36.4
766323.69;6284562.83;0.12;0.08;20;960;37.8
766323.81;6284558.38;0.12;0.12;21;960;39.1
766323.75;6284557.07;0.16;0.11;17;1280;36.9
766323.85;6284553.88;0.16;0.06;25;1280;28.3
766323.92;6284550.66;0.2;0.07;16;1600;24.2
766323.94;6284547.99;0.18;0.09;26;1440;29.6
