X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766321.69;6284655.68;0.84;0.29;62;6720;56.4
766321.75;6284653.47;0.82;0.38;60;6560;55.5
766321.82;6284650.54;0.81;0.43;62;6480;58.2
766321.97;6284647.28;0.86;0.45;60;6880;58.1
766322.02;6284644.54;0.85;0.37;41;6800;39.9
766322.1;6284641.59;0.78;0.33;53;6240;47
766322.16;6284638.73;0.79;0.48;53;6320;49.8
766322.25;6284635.44;0.83;0.49;65;6640;63.4
766322.34;6284632.79;0.81;0.37;63;6480;58
766322.42;6284630.05;0.77;0.38;60;6160;54
766322.5;6284626.77;0.83;0.32;40;6640;38.1
766322.5;6284624.2;0.77;0.38;59;6160;53
766322.55;6284621.68;0.82;0.34;57;6560;51.8
766322.73;6284617.89;0.81;0.45;60;6480;56.5
766322.79;6284615.98;0.8;0.32;61;6400;54.7
766322.79;6284612.85;0.74;0.38;59;5920;52.2
766322.86;6284609.07;0.85;0.33;33;6800;34
766322.95;6284606.51;0.77;0.34;60;6160;53.3
766323.02;6284603.69;0.83;0.3;31;6640;32.2
766323.1;6284600.95;0.82;0.31;59;6560;53.2
766323.1;6284598.53;0.75;0.38;61;6000;54.4
766323.15;6284594.81;0.72;0.33;44;5760;38.7
766323.22;6284592.08;0.76;0.34;39;6080;36.2
766323.34;6284588.57;0.75;0.42;21;6000;26.8
766323.42;6284586.43;0.69;0.4;56;5520;48.4
766323.56;6284583.72;0.69;0.26;54;5520;44.5
766323.66;6284580.55;0.77;0.33;56;6160;49.4
766323.69;6284577.49;0.8;0.3;48;6400;43
766323.73;6284574.72;0.74;0.43;62;5920;56
766323.83;6284572.66;0.79;0.31;51;6320;45.3
766323.83;6284568.83;0.81;0.41;30;6480;32.4
766323.88;6284565.32;0.76;0.33;49;6080;43.3
766323.88;6284563.32;0.76;0.38;56;6080;50
766324.01;6284559.91;0.77;0.41;37;6160;36
766324.09;6284557.79;0.81;0.42;50;6480;46.7
766324.15;6284554.84;0.74;0.34;61;5920;53.4
766324.24;6284550.77;0.79;0.35;40;6320;37.6
766324.31;6284548.74;0.75;0.37;62;6000;55.2
766324.35;6284546.08;0.77;0.3;60;6160;52.5
766324.4;6284542.75;0.78;0.41;30;6240;31.9
766324.55;6284539.38;0.77;0.4;54;6160;48.8
766324.57;6284537.2;0.78;0.3;64;6240;56.8
766324.65;6284533.91;0.8;0.34;25;6400;28.8
766322.39;6284531.24;0.85;0.8;44;6800;48.8
766319.69;6284532.17;0.81;0.3;63;6480;56.7
766319.59;6284535.31;0.75;0.35;57;6000;50.1
766319.55;6284537.28;0.84;0.26;46;6720;41.8
766319.39;6284540.91;0.81;0.33;48;6480;43.7
766319.36;6284543.06;0.78;0.32;39;6240;36.4
766319.44;6284547.54;0.76;0.42;59;6080;53.4
766319.34;6284549.67;0.79;0.46;48;6320;45.2
766319.33;6284552.42;0.75;0.33;46;6000;40.8
766319.24;6284556.48;0.8;0.5;54;6400;51.3
766319.24;6284558.64;0.81;0.39;43;6480;40.7
766319.12;6284561.67;0.82;0.38;46;6560;43.1
766319;6284564.52;0.7;0.33;58;5600;49.3
766318.92;6284566.57;0.8;0.29;46;6400;41.3
766318.89;6284570.63;0.74;0.31;49;5920;42.5
766318.82;6284573.17;0.75;0.44;49;6000;44.7
766318.68;6284576.21;0.76;0.35;52;6080;46
766318.67;6284579.45;0.83;0.39;38;6640;37.6
766318.57;6284581.75;0.75;0.5;33;6000;34.2
766318.47;6284585.59;0.76;0.29;58;6080;50.2
766318.4;6284588.09;0.85;0.47;43;6800;42.8
766318.36;6284591.08;0.6;0.89;12;4800;24.6
766318.33;6284593.77;0.81;0.31;47;6480;42.6
766318.21;6284596.56;0.79;0.22;60;6320;51.7
766318.14;6284599.52;0.7;0.25;55;5600;45.4
766318.07;6284602.27;0.78;0.31;60;6240;53
766318.04;6284605.24;0.77;0.31;51;6160;44.8
766317.96;6284608.01;0.81;0.32;55;6480;49.4
766317.9;6284610.88;0.74;0.43;46;5920;42
766317.83;6284613.29;0.91;1.06;13;7280;32.9
766317.76;6284616.53;0.82;0.37;39;6560;37.8
766317.67;6284619.08;0.84;0.3;54;6720;49
766317.65;6284622.24;0.75;0.23;51;6000;43.1
766317.49;6284625.65;0.76;0.36;59;6080;52.4
766317.41;6284627.63;0.84;0.44;42;6720;41.4
766317.36;6284631.44;0.78;0.37;59;6240;53.1
766317.37;6284634.01;0.78;0.39;60;6240;54.5
766317.26;6284637;0.8;0.35;50;6400;45.3
766317.24;6284639.83;0.8;0.31;62;6400;55.6
766317.1;6284642.13;0.83;0.34;55;6640;50.3
766316.93;6284645.62;0.15;0.04;67;1200;38.9
766316.83;6284648.33;0.14;0.04;67;1120;38.7
766316.93;6284650.8;0.15;0.02;67;1200;38.6
766312.16;6284641.71;0.86;0.41;14;6880;25
766312.15;6284638.15;0.75;0.36;45;6000;40.4
766312.23;6284636.17;0.8;0.38;60;6400;54.9
766312.35;6284633.22;0.78;0.45;58;6240;53.6
766312.34;6284631.02;0.79;0.35;50;6320;45.1
766312.45;6284627.62;0.79;0.39;62;6320;56.8
766312.54;6284624.38;0.78;0.45;41;6240;39.4
766312.63;6284621.42;0.78;0.31;48;6240;42.7
766312.68;6284618.94;0.74;0.41;59;5920;52.7
766312.75;6284615.94;0.78;0.28;61;6240;53.4
766312.85;6284612.81;0.74;0.35;58;5920;50.7
766312.87;6284610.16;0.72;0.36;44;5760;39.1
766313.02;6284606.82;0.8;0.35;55;6400;49.6
766313.06;6284604.53;0.75;0.32;45;6000;39.9
766313.18;6284601.02;0.69;0.46;52;5520;46
766313.26;6284598.28;0.76;0.31;59;6080;51.5
766313.27;6284595.38;0.78;0.41;57;6240;51.9
766313.3;6284592.58;0.71;0.25;58;5680;48.2
766313.47;6284589.99;0.73;0.31;56;5840;48
766313.5;6284586.84;0.75;0.36;59;6000;52.1
766313.61;6284584.09;0.76;0.33;51;6080;44.9
766313.64;6284580.74;0.8;0.29;62;6400;55.2
766313.69;6284578.13;0.75;0.35;58;6000;51
766313.75;6284575.41;0.74;0.31;61;5920;52.8
766313.89;6284573.01;0.89;0.75;21;7120;32.3
766313.93;6284569.82;0.79;0.38;47;6320;43.2
766314.07;6284566.76;0.81;0.29;55;6480;48.9
766314.1;6284564.08;0.82;0.34;59;6560;53.7
766314.2;6284560.16;0.78;0.36;62;6240;55.9
766314.26;6284557.81;0.81;0.42;50;6480;46.7
766314.42;6284554.57;0.74;0.35;42;5920;38
766314.42;6284551.65;0.8;0.33;57;6400;51.1
766314.5;6284548.66;0.74;0.31;60;5920;51.8
766314.6;6284546.07;0.72;0.45;58;5760;51.9
766314.71;6284543.31;0.77;0.36;51;6160;45.6
766314.75;6284541.09;0.85;0.41;44;6800;42.7
766314.9;6284536.74;0.81;0.35;44;6480;40.9
766314.94;6284534.46;0.76;0.44;62;6080;56.8
766314.94;6284532.34;0.77;0.56;57;6160;54.4
766309.99;6284532.25;0.84;0.92;30;6720;39.2
766309.87;6284534.02;0.78;0.35;60;6240;53.7
766309.77;6284537.84;0.73;0.37;52;5840;45.6
766309.68;6284540.04;0.74;0.38;58;5920;51.2
766309.62;6284542.19;0.82;0.39;14;6560;24.3
766309.6;6284546;0.74;0.33;52;5920;45.2
766309.5;6284548.87;0.89;0.4;51;7120;49.3
766309.41;6284551.87;0.77;0.33;45;6160;40.5
766309.33;6284554.13;0.8;0.37;44;6400;41
766309.22;6284557.27;0.81;0.37;55;6480;50.2
766309.17;6284560.09;0.79;0.31;39;6320;36.5
766309.14;6284563.13;0.71;0.35;59;5680;50.8
766309.06;6284565.46;0.74;0.3;62;5920;53.6
766308.95;6284569.46;0.84;0.37;43;6720;41.1
766308.89;6284571.89;0.79;0.35;55;6320;49.4
766308.81;6284574.16;0.72;0.37;55;5760;47.8
766308.7;6284577.26;0.75;0.26;59;6000;50.3
766308.66;6284580.83;0.71;0.3;41;5680;36.1
766308.57;6284582.83;0.74;0.45;50;5920;45.4
766308.52;6284586.47;0.86;0.93;15;6880;30.4
766308.38;6284588.93;0.83;1.02;35;6640;44.2
766308.31;6284592.09;0.77;0.35;56;6160;49.7
766308.32;6284594.19;0.76;0.4;45;6080;41.2
766308.24;6284597.34;0.74;0.33;59;5920;51.3
766308.12;6284600.24;0.75;0.37;62;6000;55.2
766308.05;6284602.57;0.83;0.33;50;6640;45.8
766307.92;6284606.07;0.78;0.64;52;6240;51.3
766307.79;6284608.48;0.77;0.38;56;6160;50.2
766307.75;6284612.2;0.86;0.81;39;6880;44.9
766307.68;6284614.68;0.81;0.4;56;6480;51.7
766307.64;6284617.61;0.76;0.37;63;6080;56.5
766307.55;6284620.48;0.81;0.43;47;6480;44.4
766307.43;6284623.33;0.78;0.38;63;6240;57.3
766307.45;6284625.94;0.81;0.4;46;6480;43.1
766307.39;6284629.1;0.76;0.44;57;6080;51.9
766307.28;6284631.87;0.8;0.4;48;6400;44.5
766307.16;6284634.63;0.87;1.12;44;6960;55
766307.1;6284637.83;0.78;0.46;58;6240;53.8
766307.05;6284640.64;0.83;0.49;34;6640;36.2
766307.04;6284642.13;0.86;0.53;49;6880;48.9
766302.13;6284640.65;0.79;0.34;62;6320;55.8
766302.23;6284638.26;0.78;0.51;55;6240;51.8
766302.29;6284634.93;0.8;0.62;56;6400;55.4
766302.41;6284632.36;0.75;0.63;60;6000;58.2
766302.49;6284629.46;0.8;0.44;46;6400;43.5
766302.55;6284626.03;0.77;0.36;58;6160;51.7
766302.66;6284623.86;0.71;0.39;53;5680;46.2
766302.71;6284620.68;0.72;0.44;51;5760;45.6
766302.78;6284617.92;0.71;0.43;52;5680;46
766302.87;6284614.56;0.71;0.4;35;5680;33.5
766302.99;6284612.3;0.73;0.36;50;5840;43.8
766303;6284609.57;0.77;0.4;33;6160;33.4
766303.16;6284605.81;0.78;0.59;37;6240;38.5
766303.16;6284603.63;0.76;0.41;59;6080;53.3
766303.15;6284600.59;0.8;0.35;63;6400;57.4
766303.26;6284597.94;0.9;0.45;32;7200;35.8
766303.4;6284594.43;0.77;0.44;54;6160;49.4
766303.43;6284592.19;0.76;0.37;54;6080;48
766303.47;6284589.21;0.7;0.32;49;5600;41.7
766303.53;6284586.45;0.86;0.72;42;6880;46
766303.62;6284583.13;0.75;0.32;57;6000;49.6
766303.63;6284580.47;0.82;0.29;52;6560;46.6
766303.74;6284577.51;0.8;0.34;60;6400;54.1
766303.85;6284574.43;0.79;0.46;56;6320;52.2
766303.84;6284572.27;0.97;0.37;33;7760;36.8
766303.93;6284567.76;0.74;0.38;52;5920;46
766304.03;6284565.95;0.78;0.4;55;6240;49.9
766304.15;6284563.41;0.85;0.27;24;6800;28.3
766304.23;6284559.58;0.81;0.37;62;6480;57
766304.31;6284557.03;0.79;0.34;58;6320;51.9
766304.36;6284553.85;0.83;0.32;54;6640;49
766304.4;6284551.24;0.76;0.33;59;6080;51.8
766304.54;6284547.74;0.83;0.27;48;6640;43.3
766304.57;6284545.08;0.85;0.33;42;6800;40.1
766304.67;6284543.25;0.8;0.3;55;6400;48.8
766304.72;6284540.22;0.84;0.45;30;6720;33.4
766304.78;6284537.59;0.8;0.5;46;6400;44.4
766304.9;6284533.92;0.76;0.4;53;6080;47.6
766304.91;6284532.09;0.8;0.32;53;6400;47.4
766299.85;6284532.47;0.88;0.8;17;7040;30.4
766299.85;6284534.5;0.74;0.39;55;5920;48.7
766299.86;6284536.63;0.86;0.33;39;6880;38.2
766299.69;6284540.16;0.83;0.94;39;6640;46.2
766299.6;6284542.72;0.78;0.89;52;6240;55.9
766299.5;6284545.89;0.79;0.33;63;6320;56.6
766299.46;6284548.4;0.86;0.37;46;6880;43.9
766299.39;6284551.84;0.8;0.26;51;6400;44.8
766299.36;6284554.15;0.86;0.31;49;6880;45.4
766299.28;6284557.44;0.85;0.31;61;6800;56.1
766299.23;6284560.15;0.71;0.31;60;5680;51
766299.07;6284563.11;0.79;0.31;55;6320;48.7
766299.03;6284565.77;0.87;0.28;46;6960;42.8
766299.01;6284568.53;0.82;0.39;57;6560;52.7
766298.97;6284571.68;0.78;0.34;57;6240;50.7
766298.87;6284574.38;0.81;0.34;64;6480;58.5
766298.82;6284577.13;0.78;0.32;64;6240;57.2
766298.82;6284579.8;0.78;0.35;51;6240;45.7
766298.62;6284583.08;0.8;0.5;53;6400;50.4
766298.65;6284585.05;0.87;0.41;38;6960;38.7
766298.46;6284588.72;0.77;0.43;60;6160;54.9
766298.43;6284591.9;0.88;1.15;34;7040;46.6
766298.34;6284594.48;0.85;1.2;38;6800;50.1
766298.32;6284597.2;0.75;0.5;59;6000;54.6
766298.21;6284600.2;0.87;0.38;49;6960;46.7
766298.14;6284602.88;0.77;0.97;60;6160;66
766298.07;6284605.82;0.83;0.98;46;6640;53.2
766297.97;6284608.84;0.76;0.39;54;6080;48.3
766297.95;6284612.32;0.85;0.62;45;6800;46.7
766297.93;6284614.66;0.82;0.97;45;6560;51.8
766297.75;6284617.05;0.78;0.34;60;6240;53.5
766297.7;6284620.25;0.74;0.95;56;5920;60
766297.55;6284623.09;0.76;1.07;57;6080;64.4
766297.53;6284626.45;0.88;1.01;21;7040;35.1
766297.51;6284628;0.74;1.11;49;5920;55.9
766297.43;6284632.52;0.79;0.84;48;6320;51.4
766297.42;6284634.19;0.7;0.34;56;5600;47.7
766297.33;6284637.17;0.83;1.04;57;6640;66.2
766324.23;6284652.23;0.24;0.53;16;1920;19.2
766324.29;6284650.16;0.9;0.56;44;7200;46.2
766324.46;6284647.47;0.87;0.39;60;6960;57.2
766324.55;6284644.53;0.78;0.46;60;6240;55.8
766324.6;6284641.25;0.81;0.43;50;6480;46.9
766324.65;6284638.73;0.78;0.41;48;6240;44.2
766324.72;6284635.04;0.87;0.27;31;6960;32.5
766324.84;6284632.87;0.74;0.31;54;5920;46.5
766324.92;6284630.02;0.74;0.36;58;5920;50.9
766324.98;6284627.15;0.74;0.35;49;5920;43.1
766325.02;6284624;0.71;0.37;60;5680;52.1
766325.06;6284621.23;0.74;0.38;51;5920;45.1
766325.21;6284618.12;0.73;0.39;61;5840;54
766325.28;6284616.4;0.72;0.52;55;5760;50.3
766325.26;6284612.72;0.76;0.32;54;6080;47.2
766325.38;6284609.82;0.7;0.26;50;5600;41.6
766325.46;6284606.78;0.66;0.28;59;5280;48.3
766325.52;6284604.06;0.76;0.36;53;6080;47
766325.57;6284601.09;0.78;0.31;59;6240;52
766325.6;6284598.35;0.73;0.26;54;5840;45.5
766325.61;6284595.85;0.7;0.3;54;5600;45.4
766325.7;6284592.27;0.78;0.31;52;6240;45.9
766325.82;6284589.51;0.72;0.38;57;5760;49.8
766325.95;6284586.48;0.69;0.37;58;5520;49.7
766326.03;6284583.26;0.96;0.4;17;7680;27.7
766326.16;6284580.63;0.83;0.32;60;6640;54.6
766326.17;6284577.48;0.73;0.31;52;5840;44.6
766326.22;6284574.84;0.71;0.39;58;5680;50.6
766326.36;6284571.94;0.7;0.33;51;5600;43.4
766326.35;6284569.04;0.73;0.31;60;5840;51.6
766326.37;6284566.53;0.64;0.33;44;5120;37
766326.38;6284562.8;0.84;0.45;4;6720;20.9
766326.45;6284559.69;0.77;0.33;7;6160;20.4
766326.59;6284557.06;0.74;0.41;25;5920;28.5
766326.65;6284554.88;0.78;0.73;-14;6240;18.2
766326.7;6284551.63;0.72;0.35;56;5760;48.4
766326.81;6284548.78;0.71;0.29;55;5680;46.3
766326.87;6284545.91;0.73;0.3;62;5840;53.3
766326.92;6284543.07;0.77;0.31;63;6160;55.6
766327.04;6284540.03;0.75;0.31;60;6000;52.1
766327.05;6284537.26;0.91;0.35;55;7280;52.7
766327.13;6284534.57;0.78;0.43;44;6240;41.4
766327.28;6284531.71;0.82;0.38;60;6560;55.5
766322.18;6284532.31;0.79;0.41;55;6320;50.4
766322.06;6284535.73;0.79;0.35;56;6320;50.3
766322.04;6284538.03;0.73;0.38;58;5840;50.9
766321.89;6284541.03;0.75;0.36;59;6000;52.1
766321.84;6284544.37;0.76;0.37;57;6080;50.7
766321.95;6284547.28;0.79;0.45;48;6320;45
766321.85;6284549.95;0.78;0.43;55;6240;50.4
766321.82;6284553.2;0.74;0.35;50;5920;43.9
766321.72;6284555.32;0.79;0.35;27;6320;29.8
766321.72;6284559.01;0.71;0.42;38;5680;35.6
766321.61;6284561.85;0.71;0.32;62;5680;53.1
766321.52;6284564.14;0.72;0.36;55;5760;47.7
766321.43;6284567.76;0.72;0.42;56;5760;49.5
766321.39;6284570.04;0.76;0.37;58;6080;51.6
766321.29;6284573.89;0.74;0.25;49;5920;41.6
766321.19;6284576.5;0.76;0.29;50;6080;43.5
766321.17;6284579.1;0.72;0.3;54;5760;45.9
766321.05;6284582.15;0.72;0.33;50;5760;43.1
766320.97;6284585.65;0.81;0.37;56;6480;51.2
766320.91;6284587.83;0.79;0.32;57;6320;50.7
766320.87;6284590.78;0.72;0.32;56;5760;47.9
766320.82;6284593.79;0.76;0.39;62;6080;55.8
766320.73;6284596.38;0.86;0.37;44;6880;42.3
766320.68;6284599.02;0.85;0.33;40;6800;38.6
766320.58;6284602.24;0.77;0.37;51;6160;45.7
766320.52;6284605.03;0.74;0.26;52;5920;44.1
766320.46;6284608.11;0.77;0.33;57;6160;50.3
766320.42;6284611.24;0.73;0.4;59;5840;52.2
766320.34;6284613.74;0.72;0.35;56;5760;48.4
766320.25;6284617.07;0.77;0.37;59;6160;52.8
766320.17;6284619.78;0.78;0.32;44;6240;39.8
766320.15;6284622.42;0.74;0.4;57;5920;50.7
766320;6284625.09;0.76;0.26;41;6080;36.6
766319.91;6284627.78;0.72;0.28;44;5760;38
766319.86;6284631.3;0.71;0.36;59;5680;51
766319.87;6284634.09;0.74;0.38;56;5920;49.4
766319.75;6284636.96;0.79;0.38;55;6320;49.9
766319.77;6284639.56;0.77;0.34;44;6160;39.9
766319.55;6284643.52;0.74;0.34;27;5920;28.9
766319.44;6284645.64;0.8;0.4;62;6400;57.3
766319.34;6284648.68;0.88;0.38;60;7040;57.3
766319.37;6284650.87;0.85;0.55;60;6800;59.8
766314.66;6284641.53;0.81;0.31;45;6480;41.1
766314.65;6284639.02;0.75;0.32;61;6000;53.3
766314.73;6284636.42;0.75;0.27;58;6000;49.6
766314.85;6284633.37;0.76;0.29;45;6080;39.7
766314.89;6284630.08;0.75;0.45;46;6000;42.5
766314.94;6284628;0.72;0.28;48;5760;40.9
766315.06;6284623.89;0.83;0.8;17;6640;29.6
766315.14;6284621.25;0.76;0.32;54;6080;47.2
766315.16;6284618.63;0.76;0.4;55;6080;49.4
766315.24;6284615.85;0.77;0.33;57;6160;50.3
766315.35;6284612.49;0.82;0.37;51;6560;47
766315.39;6284609.98;0.72;0.48;59;5760;53.4
766315.51;6284606.89;0.7;0.31;52;5600;43.9
766315.56;6284604.39;0.7;0.36;62;5600;53.5
766315.66;6284601.16;0.77;0.37;48;6160;43.3
766315.75;6284598.86;0.74;0.34;53;5920;46.2
766315.78;6284594.62;0.87;0.55;12;6960;25.4
766315.8;6284593.11;0.77;0.34;56;6160;49.5
766315.99;6284589.39;0.78;0.36;57;6240;51.1
766316;6284587.67;0.77;0.45;45;6160;42.2
766316.14;6284582.9;0.83;0.46;41;6640;40.7
766316.11;6284581.05;0.75;0.34;54;6000;47.3
766316.19;6284578.51;0.7;0.33;55;5600;46.7
766316.22;6284575.95;0.77;0.31;33;6160;32.4
766316.39;6284572.66;0.76;0.36;20;6080;25.9
766316.46;6284569.1;0.74;0.39;55;5920;48.7
766316.58;6284565.97;0.73;0.31;42;5840;37.3
766316.63;6284562.73;0.86;0.44;16;6880;26.1
766316.71;6284560.35;0.82;0.4;44;6560;41.8
766316.8;6284557.05;0.9;0.36;36;7200;37.3
766316.87;6284555.27;0.84;0.33;40;6720;38.4
766316.93;6284551.39;0.79;0.51;29;6320;32.6
766317.01;6284548.67;0.8;0.33;52;6400;46.7
766317.08;6284546.5;0.89;0.38;43;7120;42.4
766317.21;6284543.04;0.8;0.36;55;6400;49.8
766317.28;6284540.19;0.76;0.32;58;6080;50.7
766317.38;6284537.57;0.79;0.47;34;6320;35.2
766317.45;6284534.88;0.84;0.38;40;6720;39.1
766317.45;6284532.45;0.82;0.47;17;6560;26.3
766312.45;6284531.58;0.83;0.54;50;6640;49.2
766312.35;6284535.04;0.88;0.38;47;7040;45.3
766312.28;6284537;0.79;0.31;61;6320;54.2
766312.18;6284540.12;0.79;0.35;53;6320;47.6
766312.12;6284542.95;0.81;0.44;54;6480;50.5
766312.09;6284545.59;0.83;0.29;61;6640;55.1
766312;6284548.42;0.75;0.32;51;6000;44.5
766311.93;6284551.12;0.8;0.4;54;6400;49.6
766311.83;6284554.56;0.72;0.35;58;5760;50.1
766311.73;6284557.44;0.75;0.38;50;6000;44.6
766311.68;6284560.54;0.78;0.39;55;6240;49.8
766311.63;6284563.13;0.81;0.32;57;6480;51.2
766311.58;6284565.14;0.72;0.31;43;5760;37.7
766311.48;6284568.59;0.72;0.3;40;5760;35.6
766311.41;6284571.58;0.82;0.32;61;6560;55.4
766311.32;6284574.41;0.77;0.4;62;6160;56.4
766311.15;6284577.53;0.8;0.38;43;6400;40.4
766311.14;6284579.87;0.79;0.4;49;6320;45.1
766311.04;6284583.22;0.78;0.35;58;6240;51.8
766311.02;6284585.44;0.75;0.33;55;6000;48
766310.91;6284589;0.77;0.35;59;6160;52.5
766310.82;6284591.38;0.93;0.87;31;7440;41.3
766310.81;6284594.68;0.81;0.36;61;6480;55.8
766310.7;6284597.55;0.79;0.31;52;6320;46.1
766310.62;6284600.25;0.76;0.39;57;6080;51
766310.53;6284603.28;0.76;0.43;56;6080;50.8
766310.41;6284606.37;0.84;0.34;50;6720;46.2
766310.26;6284608.9;0.74;0.32;56;5920;48.4
766310.25;6284612;0.76;0.34;58;6080;51.1
766310.17;6284614.7;0.73;0.38;56;5840;49.1
766310.13;6284617.72;0.74;0.4;44;5920;40.1
766310.08;6284620.46;0.76;0.41;48;6080;43.7
766309.94;6284624.02;0.92;0.39;45;7360;44.8
766309.93;6284626.06;0.83;0.36;56;6640;51.5
766309.88;6284629.38;0.75;0.38;61;6000;54.4
766309.77;6284631.96;0.79;0.33;62;6320;55.6
766309.65;6284634.57;0.87;0.36;51;6960;48.1
766309.63;6284637.37;0.83;0.36;52;6640;48
766309.55;6284640.73;0.8;0.31;53;6400;47.2
766309.54;6284642.15;0.91;0.35;58;7280;55.6
766304.71;6284640.11;0.35;0.45;-8;2800;12.9
766304.74;6284637.57;0.94;0.99;44;7520;54.6
766304.78;6284635.23;0.93;0.95;40;7440;49.9
766304.87;6284632.22;0.88;0.49;48;7040;47.9
766305.01;6284628.88;0.93;0.85;43;7440;50.9
766305.04;6284626.45;0.86;0.44;54;6880;51.9
766305.11;6284624.15;0.81;0.42;57;6480;53
766305.22;6284620.1;0.85;0.69;28;6800;35.2
766305.28;6284618.09;0.85;0.46;52;6800;50.2
766305.35;6284615.55;0.86;0.55;49;6880;49.3
766305.5;6284611.95;0.81;0.38;58;6480;53.2
766305.51;6284608.63;0.8;0.39;48;6400;44.3
766305.63;6284605.97;0.84;0.41;50;6720;47.3
766305.66;6284603.27;0.88;0.41;49;7040;47.5
766305.63;6284600.52;0.91;0.49;50;7280;50.5
766305.76;6284597.73;0.81;0.28;60;6480;53.3
766305.87;6284594.9;0.86;0.46;48;6880;46.9
766305.93;6284592.05;0.81;0.34;61;6480;55.4
766305.98;6284589.15;0.85;0.59;27;6800;33.4
766306.04;6284586.63;0.94;0.45;49;7520;49.7
