X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766320.76;6284655.04;1.43;0.58;90;11440;124.7;13.6
766321.11;6284652.41;1.12;0.89;93;8960;104.1;11.2
766321.22;6284649.6;1.13;0.77;91;9040;97.3;12.8
766321.34;6284646.68;1.17;0.62;91;9360;97;12.8
766321.56;6284643.81;1.28;0.61;85;10240;100.8;17.6
766321.54;6284641.03;1.1;0.5;93;8800;90.1;11.2
766321.55;6284638.17;1.3;0.69;87;10400;108.1;16
766321.63;6284635.16;1.15;0.61;96;9200;101.5;8.8
766321.69;6284632.44;1.16;0.6;96;9280;101.8;8.8
766321.65;6284629.59;1.16;0.78;93;9280;103.2;11.2
766321.66;6284626.5;1.23;0.47;74;9840;79.5;26.4
766321.69;6284623.62;1.18;0.75;93;9440;104.5;11.2
766321.75;6284621.01;1.13;0.59;88;9040;88.7;15.2
766321.9;6284617.67;1.09;0.5;93;8720;89.6;11.2
766322.01;6284614.85;1.09;0.51;88;8720;83.1;15.2
766321.99;6284612.05;1.15;0.77;89;9200;96.8;14.4
766322.08;6284608.46;1.17;0.67;66;9360;71.7;32.8
766322.15;6284606.13;1.19;0.8;91;9520;104.5;12.8
766322.23;6284602.88;1.11;0.69;78;8880;78.7;23.2
766322.32;6284600.38;1.03;0.72;94;8240;95.2;10.4
766322.33;6284597.83;1.15;0.72;78;9200;82.9;23.2
766322.38;6284594.33;0.96;0.61;84;7680;73.7;18.4
766322.49;6284591.31;1.15;0.42;82;9200;79.9;20
766322.55;6284588.03;0.97;0.7;76;7760;67.1;24.8
766322.67;6284585.67;1.04;0.47;93;8320;86.3;11.2
766322.75;6284582.76;1.04;0.54;94;8320;90;10.4
766322.89;6284579.92;1.06;0.59;94;8480;92.6;10.4
766322.9;6284577;1.1;0.78;91;8800;95.6;12.8
766322.95;6284574.15;1.24;0.6;96;9920;110.7;8.8
766323;6284571.95;1.46;0.43;73;11680;99.1;27.2
766323.06;6284568.24;0.94;0.61;78;7520;65.4;23.2
766323.08;6284565.02;1.14;0.49;91;9120;90.5;12.8
766323.05;6284562.66;1.11;0.69;88;8880;89.5;15.2
766323.2;6284559.18;1.21;0.44;67;9680;70.5;32
766323.23;6284556.84;1.08;0.68;91;8640;91.4;12.8
766323.28;6284553.98;1.14;0.52;76;9120;75.3;24.8
766323.32;6284550.62;1.11;0.68;74;8880;74.5;26.4
766323.38;6284548.15;1.24;0.71;91;9920;107.3;12.8
766323.44;6284545.4;1.08;0.77;94;8640;99.5;10.4
766323.5;6284542.67;1.21;0.62;89;9680;98.8;14.4
766323.6;6284539.17;1.1;0.43;86;8800;79.9;16.8
766323.67;6284536.8;1.29;0.58;91;10320;108.9;12.8
766323.72;6284534.02;1.17;0.67;69;9360;74.2;30.4
766322.45;6284531.05;1.15;0.48;84;9200;83.3;18.4
766319.01;6284532.13;1.02;0.59;91;8160;85.8;12.8
766318.93;6284534.96;1.09;0.37;92;8720;84.2;12
766318.84;6284537.88;1.14;0.37;83;9120;78.8;19.2
766318.75;6284540.65;1.08;0.56;89;8640;84.6;14.4
766318.67;6284543.05;1.22;0.47;79;9760;83.9;22.4
766318.66;6284546.2;1.24;0.42;93;9920;101.1;11.2
766318.57;6284548.79;1.04;0.34;94;8320;84.1;10.4
766318.53;6284551.22;1.27;0.41;81;10160;89.2;20.8
766318.48;6284554.78;1.08;0.53;88;8640;82.6;15.2
766318.46;6284557.26;1.32;0.49;85;10560;101.5;17.6
766318.42;6284559.89;1.32;0.53;87;10560;105.2;16
766318.34;6284562.76;1.16;0.48;94;9280;95.7;10.4
766318.29;6284565.09;1.19;0.59;75;9520;80.1;25.6
766318.2;6284568.35;1.02;0.54;82;8160;72;20
766318.15;6284570.96;1.02;0.48;95;8160;88.8;9.6
766318.04;6284573.86;1.04;0.59;91;8320;86.7;12.8
766318.03;6284576.43;1.04;0.41;87;8320;75.9;16
766317.99;6284579.25;1.08;0.46;90;8640;83.3;13.6
766317.89;6284582;1.19;0.37;74;9520;74.1;26.4
766317.83;6284584.9;1.2;0.46;87;9600;90.7;16
766317.72;6284586.98;1.28;0.39;82;10240;90.7;20
766317.68;6284591.18;1.14;0.68;69;9120;72.3;30.4
766317.63;6284593.27;1.01;0.57;95;8080;91.1;9.6
766317.52;6284596.02;1.33;0.5;94;10640;115.3;10.4
766317.47;6284598.85;1.16;0.58;90;9280;93.8;13.6
766317.44;6284601.6;1.13;0.37;95;9040;91;9.6
766317.34;6284604.5;1.09;0.52;90;8720;85.5;13.6
766317.19;6284607.36;1.07;0.47;92;8560;86.2;12
766317.06;6284610.1;1.14;0.58;80;9120;80.7;21.6
766316.93;6284614.01;1.17;0.26;42;9360;46.5;52
766316.84;6284616.03;1.02;0.59;87;8160;79.8;16
766316.7;6284618.74;1.11;0.45;87;8880;82.3;16
766316.58;6284621.43;1.02;0.47;89;8160;79.4;14.4
766316.41;6284624.6;1.04;0.51;93;8320;87.5;11.2
766316.3;6284627.4;1.14;0.42;81;9120;78;20.8
766316.3;6284630.3;1.07;0.62;93;8560;92.3;11.2
766316.27;6284633.07;1.05;0.56;90;8400;84.8;13.6
766316.12;6284636.14;1.09;0.44;91;8720;84.7;12.8
766316.11;6284638.83;1.11;0.32;96;8880;89.9;8.8
766316.02;6284640.97;1.19;0.54;86;9520;90.7;16.8
766315.96;6284643.46;1.08;0.31;97;8640;89.8;8
766315.86;6284646.51;0.08;0.03;97;640;47.3;8
766315.33;6284650.27;0.81;0.13;97;6480;72.9;8
766314.26;6284651.63;0.9;0.51;89;7200;75.4;14.4
766311.59;6284650.9;0.84;0.78;88;6720;78.6;15.2
766311.03;6284641.18;0.84;0.59;40;6720;37.3;53.6
766311.09;6284637.58;1.25;0.42;80;10000;86.5;21.6
766311.14;6284635.24;1.08;0.48;96;8640;93.4;8.8
766311.27;6284632.37;1.11;0.62;94;8880;96.1;10.4
766311.22;6284629.63;1.07;0.54;89;8560;83.6;14.4
766311.24;6284626.59;1.39;0.54;94;11120;124.5;10.4
766311.38;6284623.69;1.29;0.41;73;10320;82.3;27.2
766311.53;6284620.65;1.09;0.42;84;8720;76.8;18.4
766311.62;6284617.81;1.18;0.42;94;9440;96;10.4
766311.68;6284614.84;1.06;0.41;91;8480;82.5;12.8
766311.75;6284611.83;1.11;0.62;93;8880;94.4;11.2
766311.83;6284609.08;1.17;0.47;89;9360;90.5;14.4
766311.93;6284606.06;1.14;0.54;94;9120;95.4;10.4
766311.97;6284603.42;1.31;0.42;84;10480;97;18.4
766312;6284600.27;1.28;0.55;89;10240;104.1;14.4
766312.1;6284597.55;1.21;0.51;92;9680;99.2;12
766312.16;6284594.54;1.15;0.55;94;9200;96.7;10.4
766312.2;6284591.63;1.2;0.53;94;9600;101.5;10.4
766312.34;6284588.89;1.07;0.53;93;8560;89.6;11.2
766312.38;6284585.86;1.09;0.61;96;8720;98.2;8.8
766312.52;6284582.87;1.25;0.48;86;10000;95.1;16.8
766312.51;6284579.98;1.16;0.55;94;9280;97.8;10.4
766312.62;6284577.32;1.06;0.58;91;8480;87.4;12.8
766312.69;6284574.48;1.09;0.58;92;8720;90.5;12
766312.76;6284571.68;1.14;0.63;50;9120;56.9;45.6
766312.82;6284568.73;1.17;0.66;90;9360;97;13.6
766312.92;6284565.64;1.12;0.58;95;8960;97.1;9.6
766312.99;6284563.12;1.13;0.52;88;9040;86.9;15.2
766313.12;6284559.65;1.26;0.52;88;10080;99.7;15.2
766313.19;6284557.28;1.26;0.62;90;10080;105.4;13.6
