X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766655.36;6284839.27;1.2;0.71;0.89;9600
766658.31;6284837.83;1.37;0.46;0.88;10960
766660.61;6284836.54;1.04;0.45;0.63;8320
766663.27;6284835.21;1.26;0.34;0.86;10080
766665.96;6284833.8;1.23;0.31;0.93;9840
766668.25;6284832.66;1.19;0.42;0.93;9520
766671.08;6284831.12;1.37;0.49;0.88;10960
766673.33;6284829.93;1.41;0.38;0.92;11280
766675.81;6284828.6;1.22;0.39;0.94;9760
766678.63;6284827.12;1.26;0.4;0.83;10080
766680.9;6284825.88;1.22;0.53;0.86;9760
766683.61;6284824.42;1.12;0.49;0.87;8960
766685.99;6284823.17;1.17;0.29;0.92;9360
766688.6;6284821.8;1.44;0.46;0.91;11520
766690.96;6284820.59;1.24;0.29;0.94;9920
766693.92;6284819.01;1.07;0.71;0.71;8560
766695.89;6284818.06;1.31;0.36;0.81;10480
766699.08;6284816.35;0.99;0.41;0.79;7920
766701.31;6284815.21;1.34;0.46;0.89;10720
766703.64;6284813.93;1.46;0.69;0.96;11680
766705.01;6284813.16;1.09;1.01;0.78;8720
766708.76;6284811.17;1.25;0.31;0.93;10000
766710.92;6284810.07;1.09;0.45;0.91;8720
766712.62;6284809.32;1.19;0.48;0.5;9520
766715.83;6284807.56;1.24;0.3;0.85;9920
766718.7;6284806.08;0.84;0.58;0.51;6720
766721.2;6284804.73;1.23;0.36;0.84;9840
766723.14;6284803.68;1.24;0.39;0.81;9920
766726.07;6284802.11;1.14;0.53;0.75;9120
766728.37;6284800.92;1.22;0.47;0.84;9760
766730.65;6284799.71;1.14;0.43;0.6;9120
766733.24;6284798.29;1.39;0.35;0.8;11120
766735.96;6284796.82;1.29;0.39;0.85;10320
766738.72;6284795.36;1.14;0.36;0.83;9120
766740.97;6284794.21;1.25;0.37;0.93;10000
766743.45;6284792.84;1.41;0.33;0.81;11280
766746.03;6284791.46;1.13;0.4;0.8;9040
766748.34;6284790.33;1.07;0.4;0.46;8560
766751.48;6284788.69;1.14;0.43;0.77;9120
766754.04;6284787.29;1.22;0.41;0.89;9760
766756.03;6284786.15;1.3;0.3;0.96;10400
766758.36;6284784.9;1.02;0.61;0.79;8160
766761.13;6284783.37;1.33;0.35;0.93;10640
766763.56;6284782.18;1.38;0.36;0.93;11040
766765.93;6284780.86;1.3;0.43;0.87;10400
766768.79;6284779.35;1.19;0.42;0.82;9520
766770.52;6284778.48;1.31;0.41;0.78;10480
766774.21;6284776.5;0.99;0.32;0.84;7920
766776.43;6284775.3;1.31;0.39;0.95;10480
766778.58;6284774.16;1.33;0.47;0.91;10640
766781.48;6284772.62;1.32;0.5;0.87;10560
766783.68;6284771.51;1.53;0.28;0.94;12240
766786.38;6284770.02;1.15;0.32;0.83;9200
766788.67;6284768.8;1.23;0.44;0.78;9840
766791.69;6284767.27;1.18;0.44;0.83;9440
766794.12;6284766;0.97;0.42;0.77;7760
766795.96;6284765.11;1.2;0.33;0.85;9600
766799.15;6284763.38;1.06;0.44;0.72;8480
766801.38;6284762.18;1.52;0.34;0.82;12160
766804.01;6284760.85;1.09;0.34;0.79;8720
766806.94;6284759.26;1.17;0.36;0.77;9360
766809.33;6284757.97;1.02;0.37;0.74;8160
766811.99;6284756.6;1.12;0.29;0.76;8960
766813.98;6284755.59;1.24;0.25;0.8;9920
766810.51;6284753.48;0.67;0.83;0.81;5360
766806.83;6284753.65;1.05;0.73;0.98;8400
766803.98;6284755.18;1.3;0.58;0.87;10400
