X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766655.36;6284839.27;1.2;0.71;78;9600;96.5;23.8
766658.31;6284837.83;1.37;0.46;77;10960;106;24.6
766660.61;6284836.54;1.04;0.45;52;8320;54;44.6
766663.27;6284835.21;1.26;0.34;75;10080;88.7;26.2
766665.96;6284833.8;1.23;0.31;82;9840;93.2;20.6
766668.25;6284832.66;1.19;0.42;82;9520;92.3;20.6
766671.08;6284831.12;1.37;0.49;77;10960;106.9;24.6
766673.33;6284829.93;1.41;0.38;81;11280;113.7;21.4
766675.81;6284828.6;1.22;0.39;83;9760;95.6;19.8
766678.63;6284827.12;1.26;0.4;72;10080;86.9;28.6
766680.9;6284825.88;1.22;0.53;75;9760;89.9;26.2
766683.61;6284824.42;1.12;0.49;76;8960;80.9;25.4
766685.99;6284823.17;1.17;0.29;81;9360;85.9;21.4
766688.6;6284821.8;1.44;0.46;80;11520;118.7;22.2
766690.96;6284820.59;1.24;0.29;83;9920;94.8;19.8
766693.92;6284819.01;1.07;0.71;60;8560;67.8;38.2
766695.89;6284818.06;1.31;0.36;70;10480;88.3;30.2
766699.08;6284816.35;0.99;0.41;68;7920;62.2;31.8
766701.31;6284815.21;1.34;0.46;78;10720;103.9;23.8
766703.64;6284813.93;1.46;0.69;85;11680;138.1;18.2
766705.01;6284813.16;1.09;1.01;67;8720;86.6;32.6
766708.76;6284811.17;1.25;0.31;82;10000;95.3;20.6
766710.92;6284810.07;1.09;0.45;80;8720;81.6;22.2
766712.62;6284809.32;1.19;0.48;39;9520;54.1;55
766715.83;6284807.56;1.24;0.3;74;9920;84.8;27
766718.7;6284806.08;0.84;0.58;40;6720;40.6;54.2
766721.2;6284804.73;1.23;0.36;73;9840;84.3;27.8
766723.14;6284803.68;1.24;0.39;70;9920;82.6;30.2
766726.07;6284802.11;1.14;0.53;64;9120;71.7;35
766728.37;6284800.92;1.22;0.47;73;9760;86.1;27.8
766730.65;6284799.71;1.14;0.43;49;9120;57.5;47
766733.24;6284798.29;1.39;0.35;69;11120;94.6;31
766735.96;6284796.82;1.29;0.39;74;10320;91.7;27
766738.72;6284795.36;1.14;0.36;72;9120;75.6;28.6
766740.97;6284794.21;1.25;0.37;82;10000;96.8;20.6
